,9_1,9_2,9_3,9_4,9_5,9_6,9_7,9_8,9_9
1-10A-rep2,2.4545745877616935e-06,2.170819397050477e-06,3.4889126898200142e-06,1.3441144821712544e-06,0.93072082478167,7.075230127847881e-07,3.7414132542997836e-07,0.06926685452251104,1.780610324000095e-06
1-10B-rep1,3.306358391540668e-06,2.924134783169171e-06,4.6996313767993265e-06,1.8105476278766604e-06,0.99998007389775,9.530468791589383e-07,5.039754412537971e-07,3.3298919681634525e-06,2.3985157819914834e-06
1-10B-rep2,1.14237807011418e-06,1.0103162013220175e-06,0.0006420777014312889,6.255613155172098e-07,0.9993259758283893,3.292867032586291e-07,2.6859708876719695e-05,1.15050914323499e-06,8.287098691963237e-07
1-10C-rep1,4.579256101254189e-06,4.0498822151211184e-06,0.0030016670947747032,2.507580936409663e-06,0.9969772444745745,1.3199554371769777e-06,6.979983235175963e-07,4.6118497470640134e-06,3.321907890185191e-06
1-10C-rep2,1.0057181011059501e-06,8.894544792938807e-07,0.0009411594444305293,5.507269045390782e-07,0.9990542090136857,2.898949188403159e-07,1.5329772630777068e-07,1.0128764733059673e-06,7.295732803524356e-07
1-11A-rep2,0.04963389076809266,2.123218570517419e-06,3.4124092607633387e-06,0.01015193576329548,0.8607369556835136,6.920087418852952e-07,3.6593730976896175e-07,0.0794688826453753,1.7415658400274241e-06
1-11B-rep1,0.21211597155857734,4.264752558037989e-06,6.854254821427287e-06,0.02275699652734011,0.765105433197816,1.3899869250958733e-06,7.350312867404887e-07,4.856535810508723e-06,3.498154864686646e-06
1-11B-rep2,0.06061820532666557,2.0042967024702906e-06,3.2212795817626493e-06,1.241007993580115e-06,0.08296512272263487,6.532492032147722e-07,0.8564056256809852,2.2824158208394716e-06,1.6440204125810847e-06
1-11C-rep1,0.20376338860674548,3.7339414143827937e-06,6.001142057872308e-06,2.3119586721355567e-06,0.7962153889960357,1.2169826207815933e-06,6.435458388446408e-07,4.252068542432444e-06,3.062758072226181e-06
1-11C-rep2,0.14791738891122955,2.824020229699626e-06,4.538728569080662e-06,1.748559319969812e-06,0.852066560360487,9.204171032362527e-07,4.867206701840254e-07,3.2158853740032468e-06,2.3163970171910848e-06
1-12A-rep1,3.0941461124050936e-06,0.02566151449680008,4.39799454029688e-06,1.6943410969760043e-06,0.0818307684006682,8.918773910396776e-07,4.716287430584483e-07,0.8924949225430062,2.2445716415312955e-06
1-12A-rep2,2.1322931128867087e-06,0.03108312262595396,3.0308243787165467e-06,1.167634533313805e-06,0.10007576196615653,6.146264427619537e-07,3.2501720478909373e-07,0.8688322981930047,1.5468192123925754e-06
1-12B-rep1,0.0001247465342127691,4.529022271167628e-06,7.278985665884383e-06,2.804251902771719e-06,0.34549798319689845,1.4761188731866737e-06,7.80578245126647e-07,0.6543566863903555,3.7149215750627086e-06
1-12B-rep2,2.1261507460551447e-06,1.880362203537142e-06,3.0220936676226474e-06,1.1642709996675765e-06,0.367488247774436,0.01266549148841448,3.2408094753331637e-07,0.6198362014152006,1.5423633845482675e-06
1-12C-rep1,5.668223971519629e-06,5.012962574269069e-06,8.056768224350579e-06,3.1038950563149378e-06,0.388241477859592,1.6338468268448812e-06,8.639854906475644e-07,0.6117300705856109,4.11187265310862e-06
