,10_1,10_2,10_3,10_4,10_5,10_6,10_7,10_8,10_9,10_10
1-10A-rep2,1.6762075953442116e-06,3.1314905662835544e-07,4.635918139953931e-07,0.7838204077027083,0.21616930121553213,3.124447320347838e-06,1.6413988756464478e-06,5.950196088141232e-07,9.890263574043494e-07,1.4882411312770344e-06
1-10B-rep1,2.25788497208532e-06,4.2181800807236174e-07,6.244673946767448e-07,0.9999802864960682,5.8512121037603336e-06,4.2086926883522156e-06,2.2109969342781828e-06,8.015032485052115e-07,1.332238175976642e-06,2.0046904061782604e-06
1-10B-rep2,0.0021089430402511087,2.683134843525592e-05,2.1575898805652537e-07,0.9978583402829723,2.021645346375418e-06,1.4541404134475745e-06,7.639189254754948e-07,2.769264357044936e-07,4.603000303126888e-07,6.92638201915322e-07
1-10C-rep1,3.12713975119254e-06,5.842121618771699e-07,8.648787858372342e-07,0.9936614462628791,0.0005429556116702347,0.005782228022905529,3.0622004612398284e-06,1.1100710178321203e-06,1.8451316208128658e-06,2.7764687464147166e-06
1-10C-rep2,0.0055920846431267235,1.2830707489579157e-07,1.8994823180954363e-07,0.9940502067458558,1.7798005188520773e-06,0.00033018594066408,6.725330446113401e-07,2.4379835703348334e-07,2.389850365451066e-05,6.097794716347532e-07
1-11A-rep2,1.6394523358136337e-06,3.062824400588444e-07,4.534263443441516e-07,0.29476843773513584,0.6384852323933625,0.06673932038436903,1.6054068888333855e-06,5.819722391395722e-07,9.673393536287138e-07,1.4556075307754596e-06
1-11B-rep1,3.293053799596026e-06,6.15208219813701e-07,9.107659390039019e-07,0.24986293625702757,0.3554059996521246,0.3947169846219112,3.2246690798404426e-06,1.1689671309699067e-06,1.9430272319474827e-06,2.923777535479147e-06
1-11B-rep2,1.547626127311852e-06,0.8762067048597706,4.280298011654301e-07,6.849844783538273e-06,0.039338272396927894,0.08444184514229573,1.515487575850706e-06,5.493758025088253e-07,9.131583913415696e-07,1.3740785239858746e-06
1-11C-rep1,2.883183373756882e-06,5.386362381880998e-07,7.974073223590384e-07,0.3843556125405713,0.26816970237752397,0.34746235801614145,2.8233101682105565e-06,1.0234714649648828e-06,1.7011880615479394e-06,2.5598691342034767e-06
1-11C-rep2,2.180580819551302e-06,4.0737604843280334e-07,6.030872431954106e-07,0.488135285619495,0.24108481500841794,0.27077057628726037,2.1352981071134704e-06,7.740618464209707e-07,1.286625780110335e-06,1.9360549819389284e-06
