,11_1,11_2,11_3,11_4,11_5,11_6,11_7,11_8,11_9,11_10,11_11
1-10A-rep2,4.192385535479921e-07,1.89111594815061e-06,1.1022962997419338e-06,0.785768597958689,8.68539889433551e-07,1.563665306493251e-06,2.9643774382980362e-06,0.21421883288728633,4.660676149662163e-07,1.5165922247353436e-06,1.777260749361933e-06
1-10B-rep1,5.647217455064038e-07,2.5473666249360265e-06,1.4848126089249462e-06,0.9999771624010342,1.1699385904562475e-06,2.1062848199374623e-06,3.993068831881257e-06,5.90672621961253e-06,6.27801319368875e-07,2.0428765463621453e-06,2.3940016587353217e-06
1-10B-rep2,2.6880665117572953e-05,8.801412809302252e-07,5.130179765911676e-07,0.9995117695120745,4.0422577556527563e-07,5.4098838927490854e-05,0.0004016628656992606,2.0408344563140684e-06,2.1691179117685258e-07,7.058347874612074e-07,8.271521130262536e-07
1-10C-rep1,7.821299655720411e-07,3.5280592371628234e-06,2.0564400856531775e-06,0.990341123368557,1.62034495175035e-06,0.009630164115680663,5.530332084530404e-06,8.180714859220228e-06,8.694940972456181e-07,2.8293491008414455e-06,3.3156513802155933e-06
1-10C-rep2,1.717757765547171e-07,7.748521880905554e-07,4.5164692340225436e-07,0.9887867860228441,3.558692603854657e-07,0.011206907973155178,1.2146025983429428e-06,1.7966945515090765e-06,1.9096317790978636e-07,6.213975430361691e-07,7.282019813736348e-07
1-11A-rep2,4.1004568821579e-07,0.0005065753684519381,1.078125666211322e-06,0.282656008174832,8.494949562525802e-07,1.529377990917005e-06,2.899375967528071e-06,0.7168269725616239,4.558479040550284e-07,1.4833371055010366e-06,1.7382898136242145e-06
1-11B-rep1,8.236263986707654e-07,0.0954138140731639,2.1655459020674976e-06,0.21877538711827565,1.7063134465618056e-06,0.1305583311431686,5.8237475851008214e-06,0.555234561778738,9.156256933029297e-07,2.979462126609652e-06,3.491565501569042e-06
1-11B-rep2,0.8690561436504365,1.7460495460812153e-06,1.017739793106607e-06,0.02843760874287895,8.019147007786243e-07,1.4437174522775732e-06,2.736981772913199e-06,0.1024950297041472,4.303158398884735e-07,1.4002553191828695e-06,1.6409281132265212e-06
1-11C-rep1,7.211144501392376e-07,0.08294646900845459,1.8960131012567458e-06,0.34796417649420136,1.493938616790815e-06,0.018445473691486663,5.098899870569139e-06,0.5506282035599246,8.016631320039021e-07,2.6086259457058185e-06,3.0569908162882456e-06
1-11C-rep2,5.453872495527539e-07,0.07011787555679913,1.433976770553884e-06,0.45874661006483153,1.1298831593998235e-06,2.0341715081120133e-06,3.856357303085032e-06,0.47104703245588925,6.063071549142216e-07,1.972934156798191e-06,7.690290517762527e-05
1-12A-rep1,5.284762822006896e-07,2.3838693198207007e-06,1.3895130718327614e-06,1.237910982578399e-05,1.09484857207508e-06,1.9710974116963175e-06,3.736782207583908e-06,0.9927439758287889,5.875072278706657e-07,0.0072297126195346294,2.2403477575601525e-06
1-12A-rep2,3.641933690858028e-07,1.6428162025180272e-06,9.575669979213236e-07,8.530921567495001e-06,7.545023372522573e-07,1.358359175879494e-06,2.5751606033344356e-06,0.9927083543646686,4.048738683020485e-07,0.007273513331245717,1.5439099638530395e-06
1-12B-rep1,8.746629631505283e-07,3.945460322940653e-06,0.0007200488489427567,0.12789945530063082,1.8120463084257306e-06,3.2622956996165234e-06,6.184620026319979e-06,0.8713565723928367,9.723630560331675e-07,3.1640865038578006e-06,3.7079227093318504e-06
1-12B-rep2,3.6314426182862407e-07,1.638083852764931e-06,9.548085993011733e-07,0.17304512097178507,7.523288932942944e-07,1.3544462422836744e-06,2.567742511994276e-06,0.826943991632193,4.0370757547649833e-07,1.3136715583184102e-06,1.5394625266260118e-06
1-12C-rep1,9.681228902203735e-07,4.367042634727121e-06,2.5454678978211433e-06,0.16950372342906386,2.005667992397166e-06,3.610880161302434e-06,6.845462157479355e-06,0.83046725136412,1.0762624825904938e-06,3.5021770671395335e-06,4.104123532499824e-06
1-12C-rep2,3.5783042377557843e-07,1.614114005996404e-06,9.408370216069726e-07,0.18416704703926454,7.413201721831246e-07,1.3346268241086235e-06,2.5301691030081317e-06,0.8158222248784226,3.9780018025547127e-07,1.2944487902629688e-06,1.516935791619846e-06
1-1A-rep1,3.5067397557698695e-07,1.5818324488592199e-06,9.220207025880226e-07,0.6214811061898139,7.26494100786449e-07,1.307934885423236e-06,2.4795668542437547e-06,3.6678863219954834e-06,3.898443548302579e-07,0.37850598095878657,1.4865977552428015e-06
