,12_1,12_2,12_3,12_4,12_5,12_6,12_7,12_8,12_9,12_10,12_11,12_12
1-10A-rep2,0.007799654622788961,0.02230696423743681,3.5057741948405457e-07,0.8093927684513061,0.16049306732230248,1.91282470272975e-06,2.822829149212638e-07,5.478355414011361e-07,7.667647352501889e-07,1.3653407860552386e-06,1.4921822761960263e-06,8.275577896176379e-07
1-10B-rep1,2.2540904741674225e-06,3.2926430764460395e-06,4.7223450667917624e-07,0.9999792610758189,5.028437716247233e-06,2.5766115546937287e-06,3.8024049942516616e-07,7.379449795016013e-07,1.0328468017784908e-06,1.8391402204416083e-06,2.009998139959756e-06,1.114736211772389e-06
1-10B-rep2,7.788091734176127e-07,1.1376387337217853e-06,1.6316140368852224e-07,0.9991122101184476,1.737371887354678e-06,8.902431992533438e-07,2.681696422126987e-05,2.549668374449783e-07,3.568581532900729e-07,6.354400106367815e-07,0.0008546332762280834,3.851517042543751e-07
1-10C-rep1,3.1218819474230434e-06,0.007706403673883161,6.540378029397795e-07,0.9922694334849822,6.96431181889082e-06,3.568568870817434e-06,5.266274643536686e-07,1.0220428754300322e-06,1.4304775348988065e-06,2.547181987048244e-06,2.783817676977674e-06,1.5438931558221427e-06
1-10C-rep2,0.0021150784611787717,0.003055124506631649,1.436427888751098e-07,0.9948251759200082,1.5295341764113215e-06,7.837455000201496e-07,1.156603446130675e-07,2.2446575460443787e-07,3.1416805207966873e-07,5.594238173198412e-07,6.113948353497865e-07,3.39076912115287e-07
1-11A-rep2,1.6366980709940145e-06,2.390792487458406e-06,3.4289009913149134e-07,0.33251113365781043,0.6084804461841801,0.05899888363408725,2.7609312893833113e-07,5.35822824456992e-07,7.499514271837672e-07,1.3354021436056654e-06,1.459462304674707e-06,8.094114359579743e-07
1-11B-rep1,3.2875165392181997e-06,4.8022112224917964e-06,6.88738437471445e-07,0.30483467473703213,0.30595237877293363,0.38919379116708425,5.545682150147691e-07,1.076268389821676e-06,1.5063729616175153e-06,2.6823252934762687e-06,2.9315159283285776e-06,1.6258059625671326e-06
1-11B-rep2,1.5450262591302568e-06,2.2568836847294674e-06,3.236847507446402e-07,7.559092669324351e-06,0.04727860974405765,0.08158186275878011,0.8711232266524249,5.058112725242053e-07,7.079464860415116e-07,1.2606059816008257e-06,1.3777175062983453e-06,7.640761269034157e-07
1-11C-rep1,2.8783363857711737e-06,4.204504868329541e-06,6.030147320033504e-07,0.4144365645668327,0.21678429247427444,0.36876237179976085,4.855439820992597e-07,9.423108386903453e-07,1.3188825224881395e-06,2.3484701593389156e-06,2.5666453267433625e-06,1.4234503165035204e-06
1-11C-rep2,2.1769163889986574e-06,3.1799117020295586e-06,4.560664484509236e-07,0.5178971933880139,0.20550354924594094,0.2765865731602111,3.672220722486393e-07,7.126796987373257e-07,9.974848640212312e-07,1.7761729324661393e-06,1.941181129542457e-06,1.0765705975994244e-06
