,13_1,13_2,13_3,13_4,13_5,13_6,13_7,13_8,13_9,13_10,13_11,13_12,13_13
1-10A-rep2,0.017777043631701003,1.242181324256814e-06,4.337598157201607e-07,1.6893631471806356e-06,0.15882988763852846,8.990157620455957e-07,1.1344967139247433e-06,0.8233816813909797,6.37820233791391e-07,1.7066334433058045e-06,5.373020513283247e-07,8.631049030186854e-07,2.2436613963257332e-06
1-10B-rep1,3.0149916004135837e-06,1.673241906995588e-06,5.84282734783416e-07,0.0535264691196904,4.581231493412413e-06,1.2109913574849922e-06,1.5281886855152923e-06,0.9464528712992799,8.591560052216947e-07,2.298867759043099e-06,7.2375609859948e-07,1.1626187462834938e-06,3.0222546419996704e-06
1-10B-rep2,1.0417078204241927e-06,5.781207416099244e-07,2.6887459402872255e-05,2.7471826849860016e-05,1.5828583645827304e-06,4.184088497577169e-07,5.280034957864139e-07,0.9999387045102671,2.9684644211979796e-07,7.942803297985087e-07,2.5006450694169723e-07,4.0169565978530455e-07,1.0442172692794581e-06
1-10C-rep1,4.175718161920162e-06,2.3174149537826106e-06,0.0014983891322180455,3.1516778937148657e-06,6.344936930629816e-06,1.6772048733683933e-06,2.1165184168578604e-06,0.9984706552027446,1.189918185654273e-06,3.183897378676665e-06,1.0023913450729867e-06,1.610209532119054e-06,4.185777365619981e-06
1-10C-rep2,9.170907787287969e-07,5.089615252253912e-07,1.7772530715070975e-07,0.01785556290655909,1.3935047637459913e-06,3.6835558908933893e-07,4.648396869336239e-07,0.9821381529262637,2.6133540463933707e-07,6.992624533501707e-07,2.2014988167239428e-07,3.5364175848701086e-07,9.193000281552995e-07
1-11A-rep2,2.189189601916947e-06,1.2149432800356538e-06,4.2424850782071483e-07,0.0011232682354416804,0.4277876367852975,8.793025119717642e-07,1.1096199338128453e-06,0.5379897509464724,6.238343724731535e-07,1.6692110829061374e-06,5.255203116189816e-07,8.441790915796924e-07,0.03308986398409428
1-11B-rep1,4.397264978271541e-06,2.4403676735944108e-06,8.521569369279159e-07,3.3188932507964528e-06,0.16311720816167258,1.7661906204076327e-06,2.228812374165625e-06,0.6683385178371839,1.2530504602781641e-06,3.3528221720853643e-06,1.0555741995252557e-06,1.6956407757199339e-06,0.1685219132277017
1-11B-rep2,2.0665726508317257e-06,1.1468940619099128e-06,0.8239009378253979,1.5597727353292116e-06,0.015567411664119393,8.300526009521134e-07,1.047469897549025e-06,0.11536190725800753,5.888932834656776e-07,1.5757182335319259e-06,4.960858129864051e-07,7.968964504193491e-07,0.045159634896748256
1-11C-rep1,3.8499604394751225e-06,2.1366278920051554e-06,7.460934266204638e-07,2.9058079923648124e-06,0.14232173862883446,1.5463621252622878e-06,1.9514037725611888e-06,0.7228344365358808,1.097089833015544e-06,2.935513958541934e-06,9.241924080500335e-07,1.4845932501999714e-06,0.13482424719018668
1-11C-rep2,2.9117663130854524e-06,1.6159545578051636e-06,5.642784491427493e-07,2.197693705552946e-06,0.12419869068419949,1.169530236727268e-06,1.4758675725369755e-06,0.7685215087121496,8.297407904375032e-07,2.2201606459207775e-06,6.989766162210979e-07,1.1228137749788565e-06,0.10726499382098847
1-12A-rep1,2.8214800688927745e-06,1.5658480409618985e-06,5.467816529118793e-07,0.022408394730594552,0.9775679535851411,1.1332661683954974e-06,1.4301047860622157e-06,8.605293172792818e-06,8.040127025461769e-07,2.1513192813772854e-06,6.773031827544413e-07,1.0879982617231852e-06,2.8282769458963034e-06
1-12A-rep2,1.9443884056251355e-06,1.0790849842905104e-06,3.768078740133069e-07,0.013898370260321948,0.986085330471374,7.809764891162759e-07,9.855391840281903e-07,5.930232311989925e-06,5.540754988992723e-07,1.482555313300269e-06,4.667551864569935e-07,7.497806660973647e-07,1.9490723901004565e-06
