,14_1,14_2,14_3,14_4,14_5,14_6,14_7,14_8,14_9,14_10,14_11,14_12,14_13,14_14
1-10A-rep2,1.314850038816477e-06,4.854979024062378e-07,6.744590242779967e-07,9.622034266925964e-07,4.2517864675855984e-07,0.30412341566698725,1.8422901811617149e-06,1.0296987349429062e-06,0.006194926705027479,2.9829778325470267e-07,2.4030820847519176e-06,0.6896698257434212,1.963795362397328e-06,4.3253137867271965e-07
1-10B-rep1,1.7711276748834582e-06,6.539747847013415e-07,9.085089616370969e-07,1.2961060710899971e-06,5.727236154789293e-07,3.2533940509847265e-06,2.481599443810796e-06,1.3870235178237068e-06,3.256615698033989e-06,4.0181271147418896e-07,3.2369966609666127e-06,0.9999775522197228,2.645269202927837e-06,5.826278833381669e-07
1-10B-rep2,0.001841916731896181,2.2595453131046268e-07,3.13898519362354e-07,4.4781702088946727e-07,1.978814766766185e-07,1.124078703270214e-06,8.574162985238764e-07,4.792298666829653e-07,1.1251918130813153e-06,1.388301277352755e-07,0.0005081443700187849,0.9976172277537969,9.139657627786432e-07,2.6886880167894748e-05
1-10C-rep1,2.4529844986536316e-06,9.057449850351946e-07,1.2582708922609697e-06,1.7950869076696166e-06,7.932133694851328e-07,4.505900556041282e-06,3.4369769350117057e-06,1.921006168408192e-06,0.0029996667724707204,5.565044048408458e-07,0.01369662677891867,0.9832816101722398,3.663657025727861e-06,8.069306276330085e-07
1-10C-rep2,5.38736422055586e-07,1.9892413213392757e-07,2.763475916156137e-07,3.9424574368389016e-07,1.742093897607694e-07,9.896078613755336e-07,7.548456411657233e-07,4.2190074600266486e-07,9.90587812527028e-07,1.2222221220178386e-07,0.01581193855595891,0.9841822179642192,8.046302285084829e-07,1.7722204091248092e-07
1-11A-rep2,1.2860185619354165e-06,4.748521092467165e-07,6.596697713657808e-07,9.411046359312289e-07,4.158555087865869e-07,0.7034794450404578,1.8018932193802942e-06,1.0071199355402866e-06,0.030846783918667887,2.9175683532324055e-07,2.35038831472155e-06,0.2384069481054632,0.02725717122950581,4.230470130976456e-07
1-11B-rep1,2.583129837454027e-06,9.538001146166756e-07,0.09856592427997782,1.8903268873364446e-06,8.352980311571928e-07,0.5472354000032967,3.6193288935755516e-06,2.022926909759129e-06,4.7496638994511256e-06,5.860302556367545e-07,4.721050197147484e-06,0.19545484027575508,0.15872102414287317,8.49743070997145e-07
1-11B-rep2,1.2139884435080794e-06,4.4825556182749694e-07,0.018370687967795382,8.883932051750321e-07,3.9256337099545076e-07,0.08894087440180609,1.7009688736305347e-06,9.507109766226764e-07,2.2321901907045766e-06,2.7541548534405297e-07,2.218742665373508e-06,7.20020128829667e-06,0.04425937668617173,0.8484115395141653
1-11C-rep1,2.2616215344873155e-06,8.350857349623776e-07,0.018444017530104276,1.6550480481593555e-06,7.313329696357493e-07,0.5154179130799399,3.1688504570759107e-06,1.771144057673233e-06,4.158498733134951e-06,5.130902159047121e-07,4.133446424740298e-06,0.32014985858221495,0.14596823870945216,7.439801129170806e-07
1-11C-rep2,1.71048902566871e-06,6.31584446541556e-07,0.00015005958752932353,1.2517308843067498e-06,5.531150988775982e-07,0.4501603806322883,2.3966361516107243e-06,1.3395355621316068e-06,3.145117933225295e-06,3.88055724664803e-07,3.1261705992336087e-06,0.42771546497411334,0.12195898969037154,5.626802712368546e-07
1-12A-rep1,1.6574512834547531e-06,6.120006827410724e-07,8.501980776708461e-07,1.2129180191162499e-06,5.359644620780149e-07,3.0445812698079574e-06,2.3223228011698557e-06,1.2980001060341971e-06,0.9994662626562011,3.76023142648455e-07,3.029236314435037e-06,0.0005157779268614503,2.475487734538716e-06,5.452330437323855e-07
1-12A-rep2,1.1422125090919774e-06,4.2175286982953214e-07,5.859037241187809e-07,8.358677855375188e-07,3.693534278354393e-07,2.0981363651746327e-06,1.6004006754978288e-06,8.945010768730968e-07,0.9999808489888908,2.5913180165748575e-07,2.0875615747398425e-06,6.774496102868292e-06,1.7059524371661997e-06,3.757407588012677e-07
1-12B-rep1,2.743195989361138e-06,1.0129032660810742e-06,1.4071363545406327e-06,2.0074628308400495e-06,8.870580858026448e-07,5.03899162044314e-06,3.843604127472373e-06,2.1482795425766998e-06,0.8264971337356235,6.223441902136437e-07,5.0135946628033464e-06,0.17347314219284218,4.09710263757787e-06,9.023982265809242e-07
