,15_1,15_2,15_3,15_4,15_5,15_6,15_7,15_8,15_9,15_10,15_11,15_12,15_13,15_14,15_15
1-10A-rep2,0.02534600206599874,1.2373229186613749e-06,3.500714121542577e-07,0.2174842538624038,0.7259633264390365,1.0403469673038066e-06,7.912711787657778e-07,5.152940977211292e-07,2.634902836115054e-06,1.3712376697310693e-06,9.149291113297677e-07,2.1289024255550266e-07,2.4702754395345577e-06,1.586019177036894e-06,0.03119329307151015
1-10B-rep1,3.5795087202821163e-06,1.6666955462642402e-06,4.7155229626164713e-07,2.2360885815849246e-06,0.98367789382752,1.4013655051752106e-06,1.0658560749549188e-06,6.941101346584685e-07,3.5492600642547736e-06,1.8470810509863321e-06,1.2324254663047691e-06,2.8676686882535355e-07,3.3275040905024745e-06,2.1363954864077836e-06,0.016298611562593508
1-10B-rep2,1.2367575321363292e-06,5.758606646048101e-07,2.684846761918579e-05,7.725918867383665e-07,0.9977496061308888,4.841863728341125e-07,3.6826437142185985e-07,2.3982227848948074e-07,1.226306306534658e-06,6.381857346316481e-07,4.258158304274005e-07,9.908093895045862e-08,0.0022160496227699683,7.381468843659193e-07,6.907599207757221e-07
1-10C-rep1,4.957557037376092e-06,2.3083442115191863e-06,6.530916914873549e-07,0.019364541127176484,0.9735432731508334,1.940866740386071e-06,1.4761920414615889e-06,9.613304091961954e-07,4.915663177274613e-06,2.55817498391221e-06,1.7068877382254788e-06,3.9716710300942936e-07,0.007064582657209942,2.958870422146836e-06,2.7689192241778466e-06
1-10C-rep2,0.006367750812394081,5.069719132863654e-07,1.4343577648970614e-07,0.012569551654622816,0.9748075159260241,4.262643846169817e-07,3.242098383348782e-07,2.1113294733882407e-07,1.0796063921567923e-06,0.0018095396064600104,3.7487656221066805e-07,8.722813742521423e-08,0.004441230304240237,6.498442440241539e-07,6.081260627473684e-07
1-11A-rep2,0.05793386562385045,1.2101914991435967e-06,3.4239521526087625e-07,5.7704235620947214e-05,0.2546141476070705,1.017534741337359e-06,7.739205664238944e-07,5.039949775565788e-07,0.031912442235349975,1.3411698322127084e-06,8.948669875509796e-07,2.082220881110155e-07,2.4161084324714498e-06,1.5512417143338e-06,0.6554715806520538
1-11B-rep1,5.220583297768628e-06,2.430814843945031e-06,6.877418758443408e-07,3.2612538796757964e-06,0.16796959845165138,2.043840627886555e-06,1.5545123248914231e-06,1.012334389710423e-06,0.16243872951174937,2.693900542766152e-06,1.7974477247895351e-06,4.182390497501164e-07,4.853043709519133e-06,3.115855125753046e-06,0.669562582469207
1-11B-rep2,2.4535145106331404e-06,1.1424086451854348e-06,0.7352774615856573,1.5326895981265532e-06,0.08074051899400801,9.605425968558991e-07,7.30573257534143e-07,4.757662071648352e-07,0.04203641995539898,1.2660508787790587e-06,8.447454668064754e-07,1.965595641226382e-07,2.2807821430856875e-06,1.464356629906331e-06,0.14193225147543753
1-11C-rep1,4.570808497100068e-06,2.1282658488238046e-06,6.021427550565964e-07,2.855345101148761e-06,0.32360114556655273,1.7894560005689684e-06,1.3610314668281352e-06,8.863351787476999e-07,0.1322598848812995,0.00010098303092846525,1.573730149478272e-06,3.6618333496067034e-07,4.249014364687797e-06,2.7280432611068774e-06,0.5440148761652608
1-11C-rep2,3.456956419510944e-06,1.6096325832038653e-06,4.5540767325420835e-07,2.1595312040742525e-06,0.43405485735371807,1.353386695706898e-06,1.0293641637782473e-06,6.703457578575428e-07,0.10689206719176843,1.7838421961047692e-06,1.1902306881306485e-06,2.769487786052179e-07,3.213579718756727e-06,2.063251319798298e-06,0.4590338129773147
1-12A-rep1,3.349765724854006e-06,1.559722311335158e-06,4.412867359543611e-07,0.05507789837574569,1.0560626557171833e-05,1.3114219028522622e-06,9.974464169569094e-07,6.495601827083926e-07,3.321458513138286e-06,0.012578093635392336,1.1533249135762853e-06,2.6836135997432766e-07,3.1139354650875664e-06,1.999275580627044e-06,0.9323152818031978
1-12A-rep2,2.3084531115999952e-06,1.074864966262829e-06,3.041077563016883e-07,0.10798852004352719,7.277736187778138e-06,9.037515518765522e-07,6.873789016928331e-07,4.4763704333681505e-07,2.2889455172386846e-06,0.013798433170416,7.948008022402842e-07,1.8493819190682147e-07,2.1459333589713246e-06,1.3777781236464036e-06,0.878193250460544
