,16_1,16_2,16_3,16_4,16_5,16_6,16_7,16_8,16_9,16_10,16_11,16_12,16_13,16_14,16_15,16_16
1-10A-rep2,7.571622197588686e-07,3.671466002997241e-07,7.340220688458368e-07,0.04111406891888126,0.15974556792635586,9.348552921396798e-07,9.635766861941322e-07,1.4056542883842427e-06,5.242223951944744e-07,1.1627732644020502e-06,0.777511441859933,0.00825866593361072,3.69142134506973e-07,4.2822803019088286e-07,0.01336197941506678,6.291631723310318e-07
1-10B-rep1,1.0199107700309697e-06,4.945529003615586e-07,9.887405815027317e-07,3.7708857491713904e-06,2.959712172018792e-06,1.2592664504276993e-06,0.006566285398771883,1.8934409433686166e-06,0.002008819943177713,1.5662759505425372e-06,0.9914032825781066,2.706563006985135e-06,4.972409198860754e-07,5.768306561306251e-07,3.031166031818654e-06,8.474938115264489e-07
1-10B-rep2,3.523897396299709e-07,1.7087315176244749e-07,3.41620116499754e-07,1.30288010125094e-06,1.022611224750267e-06,4.3508960747370086e-07,0.004857217357874056,6.542034662680665e-07,2.4397756323553916e-07,5.411645710767523e-07,0.9951083859235794,9.351455650327544e-07,2.6857345302919298e-05,1.9930096896445555e-07,1.0472992737348514e-06,2.928178938366819e-07
1-10C-rep1,1.412558716113075e-06,6.849471841183795e-07,1.3693885459548431e-06,5.222611319514635e-06,4.099149992939241e-06,1.744062179484983e-06,1.7976446938416227e-06,2.6223828462165257e-06,9.779871395979733e-07,2.1692650090458124e-06,0.983921891408118,3.7485427927287943e-06,6.886700445097087e-07,0.004386541732317374,0.011663855884879623,1.1737642208516202e-06
1-10C-rep2,3.10234245685746e-07,1.50432028471184e-07,3.007529653521274e-07,1.1470198475556764e-06,0.002820086594526056,3.8304093734978546e-07,3.948090364268416e-07,5.759427589911941e-07,2.1479114395925052e-07,4.7642642114420855e-07,0.9877528492302349,7.130293435695707e-05,1.5124966441942653e-07,1.754590977479966e-07,0.009351223293905666,2.577888292465644e-07
1-11A-rep2,7.40559529557503e-07,3.590959856438553e-07,7.179267847812226e-07,0.5515555909680877,2.1490537389553172e-06,9.14356233426152e-07,9.424478385196743e-07,1.374831774963411e-06,5.127274978040533e-07,1.13727652964758e-06,0.32292158195493836,0.12545430199606694,3.610477627335875e-07,4.188380512203732e-07,5.828155199586267e-05,6.153671838840024e-07
1-11B-rep1,1.4875029180025084e-06,7.212874929951805e-07,1.442042326985282e-06,0.21594531991914512,4.316633005249872e-06,0.00022712592181053768,1.8930198774173195e-06,2.761515037477951e-06,1.0298748698560001e-06,2.2843567450105767e-06,0.27363276544814186,0.510171629099237,7.252078721144687e-07,8.4128661977121e-07,4.420845871784862e-06,1.2360390287832541e-06
1-11B-rep2,6.990807668837128e-07,3.3898300813003924e-07,6.777156828582065e-07,0.03727201972542577,2.028685171063669e-06,8.631431118716353e-07,8.896613052753554e-07,1.2978274037629387e-06,4.840096144349092e-07,1.0735776352509198e-06,8.871818047180941e-06,0.10868672750731272,0.8540209743241243,3.953789187240251e-07,2.0776620233271e-06,5.809004484511134e-07
1-11C-rep1,1.3023622684804662e-06,6.315131246029646e-07,9.988701158341385e-05,0.1744714702360472,3.7793673443438546e-06,1.6080045031297822e-06,1.6574069415221656e-06,2.4178056695729044e-06,9.016924642795379e-07,2.000036434513812e-06,0.39826206382692014,0.4271459564084183,6.34945557428008e-07,7.365766730991036e-07,3.870609454609841e-06,1.0821965953641488e-06
1-11C-rep2,9.849918893460418e-07,4.776207978408783e-07,9.548888805418803e-07,0.15582388957369525,0.003135673318801406,1.2161527033969838e-06,1.2535163481432267e-06,1.8286148425682117e-06,6.819606076549288e-07,1.5126510603621873e-06,0.501188299613945,0.3398384439326249,4.802167871252865e-07,5.570815943021846e-07,2.927387418913068e-06,8.184780033249058e-07
1-12A-rep1,9.544499982429206e-07,4.6281108970619824e-07,9.252804009995216e-07,0.9885493957288659,0.0029661667328098806,1.178443150827391e-06,0.008457737747155346,1.7719145224992322e-06,6.60814883673949e-07,1.4657479087095626e-06,1.2112630071758082e-05,2.5328481011950433e-06,4.6532658449833007e-07,5.398080252781527e-07,2.8366171813789804e-06,7.93099250141013e-07
1-12A-rep2,6.577483647396275e-07,3.1894100057417536e-07,6.376464684409426e-07,0.9855838958776273,0.007274102289853713,8.121106991694417e-07,0.007073792430143372,1.2210947475277159e-06,4.553930639973901e-07,1.0101035065734986e-06,5.815682615318152e-05,1.745483471907238e-06,3.2067452521043885e-07,3.720025633125575e-07,1.9548224798356482e-06,5.465553311507332e-07
1-12B-rep1,1.5796769676012681e-06,7.659825240769216e-07,1.5313993826000315e-06,0.8371399162757753,4.584115871945581e-06,1.9504002372219653e-06,2.010322039289252e-06,2.9326340456840137e-06,1.0936917109430056e-06,2.425908340888193e-06,0.16270972182300417,4.192028723616892e-06,7.701458319427782e-07,8.934174718717862e-07,0.00012431954711180477,1.3126309610519063e-06
1-12B-rep2,6.558536340215852e-07,3.1802224905242847e-07,6.358096438804064e-07,0.8093109036016628,1.9032429509666823e-06,8.097713074344637e-07,8.346497683153796e-07,1.2175772234230428e-06,4.540812443511628e-07,1.0071937705028287e-06,0.18804403360622654,0.0025843756744101357,3.197507800428619e-07,3.709309609769473e-07,5.161525326092839e-05,5.449809065978861e-07
1-12C-rep1,1.7484692629393656e-06,8.47829604891262e-07,1.6950331014994837e-06,0.8012009496812417,5.073939713142973e-06,2.1588052083779184e-06,2.2251297995718267e-06,3.245993069148995e-06,1.2105553090510705e-06,2.685122500198333e-06,0.19876502884067643,4.639957107010993e-06,8.524377722475651e-07,9.888812843254115e-07,5.1964356032242626e-06,1.4528887462776065e-06
1-12C-rep2,6.462566245862435e-07,3.133686764159699e-07,6.265059351946958e-07,0.7927702032358406,1.8753930777469912e-06,7.979220433993394e-07,8.224364614337641e-07,1.199760595603514e-06,4.4743674051617094e-07,9.924556527013576e-07,0.20721722199029602,1.7149875504021732e-06,3.1507191406751804e-07,3.655031829671986e-07,1.92066912699051e-06,5.370062814202678e-07
1-1A-rep1,6.333317855247656e-07,3.0710144517145026e-07,6.139761009533271e-07,2.341598769919933e-06,0.10282923962548574,7.819639648246791e-07,0.35020868262114224,1.1757659284379648e-06,4.384882088627179e-07,9.726069902678676e-07,0.5449357139867247,1.680688578077398e-06,0.0020146515285738606,3.581932852631194e-07,1.882256616522869e-06,5.262663996174262e-07
