,17_1,17_2,17_3,17_4,17_5,17_6,17_7,17_8,17_9,17_10,17_11,17_12,17_13,17_14,17_15,17_16,17_17
1-10A-rep2,0.8013625653851116,1.087252278745028e-06,1.0211352470839515e-06,7.480909284799396e-07,3.661624646137231e-07,1.7482928114919808e-06,1.1222211040286544e-06,0.05355567230035263,2.862177265590602e-07,1.7473366408514825e-06,1.9711872023920206e-06,0.1450665404663124,3.4401579008564573e-07,7.140222212779413e-07,2.1486968722011122e-06,1.3302874920105519e-06,5.869294435712942e-07
1-10B-rep1,0.9889297197157015,1.4645476624216242e-06,1.3754868749130848e-06,1.007691445676934e-06,4.932271857232207e-07,2.3549807163932044e-06,1.5116512761163952e-06,2.829842389407548e-06,3.85540238057303e-07,0.011046973836169245,2.655223323873725e-06,2.3262051139408174e-06,4.633952313143079e-07,9.618003066378826e-07,2.8943319254912025e-06,1.791920306685021e-06,7.906041324474846e-07
1-10B-rep2,0.9999644486138128,5.060165670718783e-07,4.752451315548722e-07,3.481679559448467e-07,2.6855953739512465e-05,8.136705197148433e-07,5.222913592893583e-07,9.77740204695537e-07,1.3320819303842324e-07,8.13225509670258e-07,9.17407487397268e-07,8.037282474747542e-07,1.6010790919526913e-07,3.3231208642868357e-07,1.0000220153176309e-06,6.191272468086482e-07,2.7316201396438067e-07
1-10C-rep1,0.992262674461115,2.028372685968224e-06,1.9050250658064878e-06,1.395634882182818e-06,0.0016052220060140795,3.2616067634258283e-06,2.09361036028938e-06,3.919281806628469e-06,5.339664309211038e-07,3.259822936021438e-06,3.677437480174494e-06,3.2217530614710614e-06,6.417942236524312e-07,1.3320764638785157e-06,0.006101256399903502,2.481778025238022e-06,1.0949727815743935e-06
1-10C-rep2,0.9919810082486248,4.454830936835569e-07,4.183927666404647e-07,3.065175099568601e-07,1.5002883021335147e-07,7.163331873878887e-07,0.0011046409418224144,8.60775633744598e-07,1.1727283610918582e-07,0.004511413327006487,8.076603657843091e-07,7.075802838586849e-07,1.409546077201518e-07,2.925584377352192e-07,0.002397188378024767,5.45062630830665e-07,2.40484337818919e-07
1-11A-rep2,0.2538290637086647,1.063411541040292e-06,9.987442914035556e-07,7.316871554515041e-07,3.581334326706936e-07,0.0291636188852505,1.0976135869777376e-06,0.6401059557282066,2.7994168384226163e-07,0.002020610409228723,0.07486952107758951,1.6890630659990517e-06,3.364723796205178e-07,6.98365490245389e-07,2.1015812951279955e-06,1.3011175966799832e-06,5.740595409839009e-07
1-11B-rep1,0.2443427497782512,2.135989207733853e-06,2.0060973060691652e-06,1.4696811226564247e-06,7.193538132611783e-07,0.034360030789602695,2.204688105747819e-06,0.3372619922453354,5.622963381580012e-07,3.432774784748878e-06,0.38400923723074726,3.392685090314559e-06,6.758449986981315e-07,1.4027505745881244e-06,4.221277268796021e-06,2.61345023750852e-06,1.1530672151053912e-06
1-11B-rep2,7.830251169350747e-06,1.0038498484012548e-06,9.428046121601104e-07,6.907053494629205e-07,0.8531206927662205,1.6141823825864792e-06,1.0361362373525446e-06,0.05362967279301665,2.642621469119439e-07,1.613299559187279e-06,0.0932283135940971,1.594458624254354e-06,3.176265577697623e-07,6.59250031108078e-07,1.9838717026273243e-06,1.2282419851318105e-06,5.419064594937928e-07
1-11C-rep1,0.41256039265877037,1.8701355010348978e-06,1.7564104617320147e-06,1.2867587685972385e-06,6.298201784510995e-07,0.048230331747107565,1.9302838611449186e-06,0.16224072793085853,4.923107009547349e-07,3.0055179908082267e-06,0.3769457925204339,2.970418019087488e-06,5.917266438828122e-07,1.2281586625699953e-06,3.6958803216344337e-06,2.2881698332821155e-06,1.0095518864235404e-06
1-11C-rep2,0.5036480744446845,1.4144056885512101e-06,1.3283940907650097e-06,9.731909378170358e-07,4.763404805013378e-07,0.02670577864083345,1.4598966076047018e-06,0.18088540865045521,3.7234042965318626e-07,2.2731089489984678e-06,0.2887435282792721,2.2465624235502707e-06,4.475298879209651e-07,9.288709817129084e-07,2.795238178319931e-06,1.7305700184690014e-06,7.635360808106573e-07
1-12A-rep1,1.0690584818731261e-05,1.3705488773604646e-06,1.287204261498091e-06,9.430149765932762e-07,4.61570478736671e-07,0.9858010238579233,0.007012374783407358,2.6482151516302225e-06,3.607951820243341e-07,0.007157718659748834,2.4848036284863506e-06,2.176902731967165e-06,4.336532230039358e-07,9.000692598340371e-07,2.7085655680412554e-06,1.6769098252396442e-06,7.398609372471899e-07
1-12A-rep2,7.367296105934872e-06,9.444983205670393e-07,8.870623173637669e-07,6.498681487210184e-07,3.1808609615565817e-07,0.9645630286093124,0.006526023044784094,1.8249876414710956e-06,2.486379355889528e-07,1.517914981658551e-06,1.7123744310119874e-06,0.028891026432300515,2.988472338356287e-07,6.202725917695819e-07,1.8665774511359067e-06,1.1556235168580928e-06,5.098668308925531e-07
1-12B-rep1,0.1573241262365528,2.2683470087702475e-06,2.1304062806346554e-06,1.5607507595793008e-06,7.639289864622678e-07,0.8329501800956254,2.3413028735525044e-06,4.382967303836299e-06,5.971393544897032e-07,3.645488650679214e-06,4.112510667196042e-06,0.00933432667518659,7.177241231549604e-07,1.489672821565206e-06,4.482851145124508e-06,0.000361649384971201,1.2245176889588738e-06
1-12B-rep2,0.1621173174625782,9.417775697851787e-07,8.845070184913692e-07,6.479961186334715e-07,3.1716980760758014e-07,0.7999725036971076,9.72067554858256e-07,1.819730526191698e-06,2.479217015386395e-07,0.028559489507084722,0.0025843417898207643,0.006756078007714445,2.979863653434253e-07,6.184858155495769e-07,1.8612005309773484e-06,1.1522945923713448e-06,5.083980928878494e-07
1-12C-rep1,0.19637892204760266,2.51072514168646e-06,2.3580451271853605e-06,1.7275205939969532e-06,8.455565684430693e-07,0.803581125103458,2.5914765096359323e-06,4.851297514174169e-06,6.609450778964019e-07,4.035017558426841e-06,4.55194195934802e-06,3.9878945657757865e-06,7.944146084495959e-07,1.6488478136413728e-06,4.961854175302699e-06,3.0719514846334754e-06,1.3553602408370502e-06
1-12C-rep2,0.17560140926403373,9.279966821738818e-07,8.715641621266617e-07,6.385140902119607e-07,3.1252871016316585e-07,0.7972225179770684,9.5784343851288e-07,0.0057766292623174535,2.4429390107394506e-07,0.021387960901422396,1.682456978498907e-06,1.4739777223935307e-06,2.9362597628528147e-07,6.094356068944544e-07,1.8339658673344932e-06,1.1354332412603847e-06,5.009587810963366e-07
1-1A-rep1,0.6244531454307534,9.094371759273825e-07,8.541332802906167e-07,6.257441024809634e-07,3.0627827989773e-07,1.4623675739844308e-06,0.37471653018485396,1.7572414589000252e-06,2.394081355641563e-07,0.000816790513827408,1.6488086137991872e-06,1.4444988467989758e-06,2.877535919915841e-07,5.972471754374578e-07,1.797287394636804e-06,1.1127250993688746e-06,4.909398361953525e-07
1-1A-rep2,0.6221924922743547,4.805730550833153e-07,4.51348868094184e-07,3.3066138375418195e-07,1.6184635131725443e-07,7.727575596058432e-07,0.3777995836998753,9.285774969134076e-07,1.2651022210802383e-07,7.723349255448545e-07,8.71278427751926e-07,7.633152044423789e-07,1.5205736743011198e-07,3.1560277866052197e-07,9.497389341078671e-07,5.879963065357299e-07,2.5942688861593433e-07
1-1B-rep1,0.8181691301386339,1.5620274965862324e-06,1.4670388509275892e-06,1.0747630730019605e-06,5.260562328778052e-07,2.5117274960202176e-06,0.1818051140558638,3.0181958134096765e-06,4.112016756696967e-07,2.510353790155365e-06,2.8319541575109415e-06,2.481036598472274e-06,4.94238672917634e-07,1.0258174341074691e-06,3.0869777528367585e-06,1.9111899616193123e-06,8.4322649612898e-07
1-1B-rep2,0.8303468309890504,5.082680927662096e-07,4.773597394440832e-07,3.4971713269075607e-07,8.058400185771087e-05,8.172909546987392e-07,0.1672592077531576,9.820906693571813e-07,1.3380090420410105e-07,0.0023059845923389,9.214895010396267e-07,8.07304444220487e-07,1.6082031091267693e-07,3.337907123271608e-07,1.0044716231148885e-06,6.218820595854645e-07,2.7437745103339805e-07
1-1C-rep1,0.3473947858574488,1.3490007160282053e-06,1.2669664680472285e-06,9.281886254940704e-07,4.543135356926689e-07,2.1691821674100416e-06,0.6525829708720964,2.6065791558095107e-06,3.5512265701002376e-07,2.1679958053265644e-06,2.4457368353569257e-06,2.1426768447712228e-06,4.2683520303697234e-07,8.859181135732314e-07,2.665980725717675e-06,1.650544969486739e-06,7.28228632042619e-07
1-1C-rep2,0.3434351332975253,4.468688807594063e-07,4.1969428244849467e-07,3.074710096740043e-07,1.5049553257952962e-07,7.185615217223659e-07,0.6565339321176837,8.634532925948723e-07,1.1763764272683889e-07,7.181685283828369e-07,8.101727962501323e-07,7.097813900878559e-07,1.4139308243766548e-07,2.9346851425146106e-07,8.831306083626262e-07,2.4113055283904585e-05,2.412324247654696e-07
1-2A-rep1,0.3355986609432882,6.748239355890701e-07,6.337871344829875e-07,4.643169523801957e-07,2.2726574160031965e-07,1.085111393810904e-06,0.0051253464953514355,1.303914804083049e-06,1.7764650987430695e-07,0.03740391171014885,1.2234550634710043e-06,0.6218275224039176,2.1351998419202254e-07,4.431715572185308e-07,1.3336298373734824e-06,3.641351538757557e-05,3.6428899232205456e-07
1-2A-rep2,0.284932332484597,9.442161348069689e-07,8.867972916365589e-07,6.496739889925159e-07,3.1799106224733144e-07,1.5182918566822232e-06,0.008914216311698041,1.8244423937840291e-06,2.4856365056026756e-07,0.04103230619426883,1.7118628285349707e-06,0.6651085933124763,2.9875794788139403e-07,6.200872742428612e-07,1.8660197777496134e-06,1.1552782536708973e-06,5.097144990608526e-07
1-2B-rep1,0.12776581367315407,2.4870156943801243e-06,2.3357774779868464e-06,1.7112071561721865e-06,8.375717521956959e-07,3.99910098654497e-06,2.5670045056197743e-06,0.7887798939872609,6.547035972036007e-07,3.996913811189339e-06,0.010759340559209893,3.950235813529026e-06,7.869127393737291e-07,1.6332773038692684e-06,0.07266560655609741,3.04294222725072e-06,1.3425612125094636e-06
1-2B-rep2,0.2796026114790301,1.1038346594126418e-06,1.036709234567159e-06,7.595005422306339e-07,3.717470428143086e-07,1.7749571445868498e-06,1.1393368166411059e-06,0.6540762946106479,2.9058301637119073e-07,1.77398639077568e-06,2.0012510405611365e-06,1.7532688730833447e-06,3.4926259517255224e-07,7.249122313610037e-07,0.06624785573554977,5.956294410448663e-05,5.958810803244164e-07
1-2C-rep2,0.5244406984521695,1.0393391112974698e-06,9.76135733138016e-07,7.151239652249798e-07,3.500263719855262e-07,1.6712488283595052e-06,1.0727669260778184e-06,0.2877054647779154,2.7360464850240837e-07,1.6703347943646616e-06,1.8843206817647126e-06,1.6508277728709725e-06,3.2885565984061823e-07,6.825566020116786e-07,0.1878396889000365,1.2716642188253585e-06,5.61064564499996e-07
1-3A-rep1,0.08321503386454573,2.2997086219811475e-06,2.159860758938466e-06,1.5823293194077994e-06,7.744908825484461e-07,0.05918763765970795,2.373673156779025e-06,4.443565142159747e-06,6.053952577514645e-07,0.00800808118393619,4.169369237940131e-06,0.8495600009399199,7.276472020558034e-07,1.5102686751361488e-06,4.5448299531075315e-06,2.8137661101262907e-06,1.2414475722538698e-06
1-3A-rep2,0.17430111663365408,1.718605692110165e-06,1.614095350601098e-06,1.1824977082463363e-06,5.787882980099104e-07,0.03643732402069981,1.7738804644456293e-06,3.3207408423764477e-06,4.5242067886489687e-07,0.008250386388133399,3.1158302562087233e-06,0.7809893167334886,5.437813344474171e-07,1.1286457409846337e-06,3.396417508038289e-06,2.1027683276517986e-06,9.277518220085781e-07
