,18_1,18_2,18_3,18_4,18_5,18_6,18_7,18_8,18_9,18_10,18_11,18_12,18_13,18_14,18_15,18_16,18_17,18_18
1-10A-rep2,0.23451406762279944,1.7055882928840884e-06,3.559580371511546e-07,0.010035643891168358,0.007111553759220836,1.3985100185299457e-06,1.3251722451024976e-06,1.8211342703057626e-06,2.602873081503344e-07,5.176618021819961e-07,6.021303119298457e-07,0.6892096077701454,0.04243270553448029,6.819482806096942e-07,5.624228909921238e-07,0.01668636123386919,2.8638891391890776e-07,5.429859446711543e-07
1-10B-rep1,2.1374569905738325e-06,2.297458990686356e-06,4.794820626829699e-07,0.005254013750592081,2.2089963687215525e-06,1.8838188729611094e-06,1.7850315351136517e-06,2.453101560333795e-06,3.5061182042961863e-07,6.973000263427313e-07,8.110806719766912e-07,0.982056674859679,0.012670068130606326,9.185969527385352e-07,7.575940412282609e-07,1.3455459475575541e-06,3.8577116638347547e-07,7.314121148730509e-07
1-10B-rep2,7.385121585291353e-07,7.937944042038686e-07,2.685123545979631e-05,6.940577940148808e-07,7.632297087809984e-07,6.508777244565454e-07,0.0017885499188769877,8.475704242951514e-07,1.2113979062652077e-07,2.409239343143664e-07,2.802362529137763e-07,0.9941473192270726,0.0040307192392462395,3.17384172583092e-07,2.617561022952277e-07,4.648991986800566e-07,1.3328768627418223e-07,2.527099923466734e-07
1-10C-rep1,2.960344092052967e-06,3.1819443290816452e-06,0.001712180243570839,2.782147682101037e-06,3.0594249981870784e-06,2.6090593147191866e-06,2.472240415786464e-06,3.397506823934017e-06,4.855918204623658e-07,9.65749496937435e-07,1.1233338897827098e-06,0.9717257464196213,0.02653330365496296,1.2722422364565694e-06,1.0492557529882821e-06,1.8635598348897982e-06,5.342869579710759e-07,1.0129941994945653e-06
1-10C-rep2,0.004017994156005976,6.988347033110575e-07,1.458475238846043e-07,6.110293420971844e-07,6.719263883311141e-07,5.73014799617492e-07,5.429659411980896e-07,7.461776284396773e-07,1.0664813104415141e-07,2.1210278790762537e-07,2.4671226910249733e-07,0.9671724248671492,0.028803766752056634,2.794162731660759e-07,2.3044285411763148e-07,4.0928443417911207e-07,1.1734280337470474e-07,2.2247890837987143e-07
1-11A-rep2,1.552011167562652e-06,1.6681888928231404e-06,3.481527437565719e-07,1.45858864313132e-06,1.6039560320887642e-06,1.3678440976330555e-06,1.2961144430813268e-06,0.13689484742143077,2.5457984099139843e-07,5.063107387882985e-07,5.889270597038303e-07,0.20139243054268371,0.6616990720851909,6.669948145981104e-07,5.50090325864064e-07,9.770032081522062e-07,2.801091020737162e-07,5.310795844686641e-07
1-11B-rep1,3.1174076866554677e-06,3.3507651143046304e-06,6.993081378540503e-07,0.013182410307864312,3.221745415236562e-06,2.7474851941975245e-06,2.6034072512456905e-06,0.10037039119093488,5.113553109417782e-07,1.0169881647266783e-06,1.1829333326791355e-06,1.3101858606473797e-05,0.8864096087738439,1.339742139389954e-06,1.1049249168074807e-06,1.9624326001235357e-06,5.626340107320869e-07,1.0667394754951543e-06
1-11B-rep2,1.4650828027882553e-06,1.5747533972424856e-06,0.8227882453678441,1.376892887149723e-06,1.5141182281131188e-06,0.016730218118229556,1.2235188900000442e-06,1.6814358957338437e-06,2.403207881286136e-07,4.779522027735717e-07,5.559411718820012e-07,6.157458266070381e-06,0.1604624320883527,6.296363407946832e-07,5.192796889917312e-07,9.222811204256162e-07,2.644201516907546e-07,5.013337419078609e-07
1-11C-rep1,2.7294010602090724e-06,2.9337137695026766e-06,6.122690917335329e-07,0.013810038704388001,2.8207524443184035e-06,2.4055207902553147e-06,2.2793754381639506e-06,0.06706800422263029,4.4770972170322996e-07,8.904092290870934e-07,1.035700112690431e-06,0.2333577749524106,0.6857427421224548,1.1729917877955899e-06,9.674009762326797e-07,1.718179384202562e-06,4.926060431477852e-07,9.339682672390632e-07
1-11C-rep2,2.064276263683445e-06,2.218800229513273e-06,4.630658980383554e-07,0.010593867363060056,2.133366327661465e-06,1.819322026914109e-06,1.7239168994330468e-06,0.061614566204533365,3.3860782316157845e-07,6.734263657200919e-07,7.833114708167354e-07,0.3467824097395703,0.580992941384705,8.871466858947312e-07,7.316560771572148e-07,1.2994781057525865e-06,3.7256340852271194e-07,7.063705489099032e-07
