,19_1,19_2,19_3,19_4,19_5,19_6,19_7,19_8,19_9,19_10,19_11,19_12,19_13,19_14,19_15,19_16,19_17,19_18,19_19
1-10A-rep2,3.348979659563997e-07,1.0356697314139722e-06,9.003588716697955e-07,7.30082274164162e-07,2.204276800364514e-06,1.857437178706747e-06,5.950734193407313e-07,3.8357945287389863e-07,5.951041710575534e-07,1.4908168855050467e-06,0.7261935674554262,7.68791533332356e-07,0.01714550995687646,2.870698287164281e-07,0.09420791064502024,0.1405942805657793,2.4741847426630986e-07,8.34649294496735e-07,0.021846466151015917
1-10B-rep1,4.511137691498328e-07,1.395066329526102e-06,1.2128000927880538e-06,9.834343590207254e-07,2.9692017173715163e-06,2.502002316593706e-06,8.01574928510092e-07,5.166886345822203e-07,8.01616351642788e-07,2.00815798451267e-06,0.9771921391121093,0.01004163432991637,1.942656603370749e-06,3.866883815541732e-07,0.012745917963596257,1.962973937750111e-06,3.332772719739568e-07,1.1242880740807192e-06,9.17053625584596e-07
1-10B-rep2,1.558641798345656e-07,4.820089390669495e-07,4.1903418758851935e-07,0.00042730891738692716,1.0258879734787774e-06,8.64466052000589e-07,2.7695190737279305e-07,1.7852093145099954e-07,2.769662194666491e-07,6.938380484909158e-07,0.9879033428178656,0.011635266629178078,6.712066864091129e-07,2.681917528917564e-05,7.190347611138426e-07,6.782265223707417e-07,1.1515052788483807e-07,3.8845242718843214e-07,3.1685091653361437e-07
1-10C-rep1,6.247854532718085e-07,1.9321448571163104e-06,1.6797089947591474e-06,1.3620410720820982e-06,0.009845331681007206,3.4652337356187148e-06,1.1101686299319224e-06,7.156056073531712e-07,1.1102260003171938e-06,2.7812671268263255e-06,0.9901263370078911,1.4342570437920149e-06,2.690548747327934e-06,5.355573078595659e-07,2.88226877796762e-06,2.7186879349067293e-06,4.6158376373184925e-07,1.5571212452602017e-06,1.2701048035293372e-06
1-10C-rep2,1.3721852513373576e-07,4.243473759669809e-07,3.6890614163266735e-07,2.991383139667457e-07,9.031634774751272e-07,7.610520698829478e-07,2.438208208133903e-07,1.571649043751257e-07,2.438334207860883e-07,0.0020445227551026094,0.9749960667317481,0.015505853696287923,5.909118545820952e-07,1.1762179084715836e-07,0.0074479902412812535,5.970919245530009e-07,1.0137534885500674e-07,3.419828032328676e-07,2.789468080489204e-07
1-11A-rep2,3.2755446811198406e-07,1.0129600131914519e-06,8.806161914942807e-07,7.140733456200316e-07,2.1559423714415283e-06,0.02019088166222164,5.8202490661024e-07,3.7516848842597383e-07,5.820549840167075e-07,1.4581268972160462e-06,0.1783441279860425,7.519338048845034e-07,0.011329719234936064,2.8077508559263646e-07,0.7298362091702717,0.060288216501133966,2.4199318890438024e-07,8.163474655277953e-07,6.6587418319027e-07
1-11B-rep1,6.579339863302771e-07,2.0346564750396657e-06,1.7688274094882392e-06,1.4343053401896071e-06,4.330479040377282e-06,0.1572562784353994,1.1690695875919647e-06,7.535726823033819e-07,1.1691300018126883e-06,0.00022821912959115063,0.07368476690808848,1.5103527927911479e-06,2.8332981401461768e-06,5.639717644243284e-07,0.7688061836989598,2.862930276680185e-06,4.86073489878948e-07,1.6397356608235813e-06,1.3374913133256783e-06
1-11B-rep2,3.092080947686953e-07,9.562239756983546e-07,8.312927506802305e-07,6.74077993797331e-07,2.035187726020056e-06,0.04018290612706387,5.494256070393558e-07,3.5415524688793723e-07,5.494539998059175e-07,1.37645699787866e-06,6.973779765457672e-06,7.098178832383531e-07,1.3315602142894976e-06,0.8194530426082925,0.14034442749669582,1.3454863781174396e-06,2.2843911523912674e-07,7.706237253915436e-07,6.28578473457226e-07
1-11C-rep1,5.760445429364148e-07,1.7814139162108596e-06,1.548671139965347e-06,1.2557852022953928e-06,3.7914880084300947e-06,0.1243690985803478,1.0235618925866176e-06,6.597796137087067e-07,1.023614787379844e-06,2.564294258880175e-06,0.26403164707293103,1.322367444565125e-06,2.4806530230280514e-06,4.93777284676965e-07,0.6115751940561922,2.506597009659855e-06,4.255745821439738e-07,1.4356467349316998e-06,1.1710210876374366e-06
1-11C-rep2,4.3566885634403997e-07,1.347303039439801e-06,1.1712771046529977e-06,9.497642319618216e-07,2.8675442979714406e-06,0.10614547354082711,7.741311754597699e-07,4.989986161110351e-07,7.741711803766712e-07,1.939404097816843e-06,0.3919857680204407,1.0001211178974255e-06,1.8761453064373732e-06,3.7344921940806344e-07,0.5018505613750041,1.8957670303534882e-06,3.218667614601875e-07,1.085795497572814e-06,8.856561949273954e-07
