,2_1,2_2
1-10A-rep2,0.9999942796889341,5.720311065900981e-06
1-10B-rep1,0.9999922945999132,7.705400086793864e-06
1-10B-rep2,0.9999973377403277,2.6622596722934763e-06
1-10C-rep1,0.9998823556798757,0.00011764432012434138
1-10C-rep2,0.99999765622172,2.3437782800300196e-06
1-11A-rep2,0.9999944051230496,5.594876950288932e-06
1-11B-rep1,0.9826409623183598,0.017359037681640238
1-11B-rep2,0.9999947184967105,5.2815032894863355e-06
1-11C-rep1,0.9904233371015252,0.009576662898474905
1-11C-rep2,0.999992558416424,7.44158357608992e-06
1-12A-rep1,0.9999927891639258,7.210836074249494e-06
1-12A-rep2,0.9999950307640894,4.969235910593992e-06
1-12B-rep1,0.9999880654454726,1.1934554527458894e-05
1-12B-rep2,0.999995045078817,4.954921182980022e-06
1-12C-rep1,0.9999867901644787,1.3209835521257615e-05
1-12C-rep2,0.9999951175843941,4.882415605922134e-06
1-1A-rep1,0.9999952152317387,4.784768261251894e-06
1-1A-rep2,0.999997471604928,2.52839507191758e-06
1-1B-rep1,0.9999917817193363,8.218280663686693e-06
1-1B-rep2,0.9999973258944902,2.6741055097655788e-06
1-1C-rep1,0.9999929025369588,7.0974630411950635e-06
1-1C-rep2,0.9999976489307618,2.351069238172258e-06
1-2A-rep1,0.9999964496005824,3.5503994175683094e-06
1-2A-rep2,0.9999950322487576,4.967751242295449e-06
1-2B-rep1,0.9703444861777017,0.029655513822298255
1-2B-rep2,0.9930085970909135,0.006991402909086425
1-2C-rep2,0.9349327821594573,0.06506721784054263
1-3A-rep1,0.999987900435754,1.209956424602705e-05
1-3A-rep2,0.9999909578955138,9.042104486251957e-06
1-3B-rep2,0.9999925992672212,7.400732778911651e-06
1-3C-rep1,0.9994370629077047,0.0005629370922953623
1-3C-rep2,0.9999909167321959,9.083267804205767e-06
1-3C-rep3,0.997695102022718,0.002304897977281913
1-4A-rep1,0.9811228630237877,0.018877136976212367
1-4A-rep3,0.9778986170100132,0.022101382989986734
1-4B-rep3,0.9845998140947503,0.015400185905249717
1-4C-rep1,0.9999900477503207,9.952249679318355e-06
1-4C-rep2,0.2903736744066929,0.7096263255933072
1-4C-rep3,0.9999956014947295,4.3985052704275655e-06
1-5A-rep1,0.9999896308840379,1.036911596218801e-05
1-5A-rep2,0.9999971199280664,2.880071933535705e-06
1-5A-rep3,0.9999952485032806,4.751496719379922e-06
1-5B-rep1,0.9996180302523656,0.0003819697476343338
1-5B-rep2,0.9999968181811133,3.1818188866811427e-06
1-5B-rep3,0.9999940151076648,5.98489233511269e-06
1-5C-rep1,0.9999899159685068,1.0084031493271597e-05
1-5C-rep2,0.9918244828550239,0.008175517144976111
1-5C-rep3,0.9999417689623161,5.823103768380335e-05
1-6A-rep1,0.999993580716775,6.419283225056829e-06
1-6A-rep2,0.9999956265616055,4.373438394489713e-06
1-6A-rep3,0.9999945801984534,5.419801546500548e-06
1-6B-rep1,0.9946375207032041,0.005362479296795939
1-6B-rep2,0.999995868874352,4.131125647933714e-06
1-6C-rep2,0.9999960862064273,3.913793572650765e-06
1-7A-rep1,0.9999858335018126,1.4166498187440727e-05
1-7A-rep2,0.9999959858939587,4.014106041324209e-06
1-7B-rep2,0.9863165450778034,0.013683454922196548
1-7C-rep1,0.9999902832960512,9.716703948850832e-06
1-7C-rep2,0.9999955631536527,4.436846347268857e-06
1-8A-rep1,0.9999987326353286,1.2673646715113246e-06
1-8A-rep2,0.9999979319019997,2.0680980003223995e-06
1-8B-rep1,0.9999217595870589,7.824041294121121e-05
1-8B-rep2,0.9999980439394027,1.9560605972597807e-06
1-8C-rep1,0.9993272263285167,0.0006727736714832659
1-8C-rep2,0.9999458250140114,5.4174985988505686e-05
1-9A-rep1,0.9999936307162786,6.369283721455057e-06
1-9A-rep2,0.9999443508981486,5.564910185132723e-05
1-9B-rep2,0.9999957098769919,4.290123007973068e-06
1-9C-rep1,0.9999895908538813,1.0409146118850724e-05
1-9C-rep2,0.9999967358331197,3.2641668802845537e-06
2-10A-rep1,0.8574219716804278,0.1425780283195722
2-10A-rep2,0.8978512754965027,0.10214872450349724
2-10C-rep1,0.8941559271136402,0.10584407288635979
2-10C-rep2,0.999998737926222,1.262073778135946e-06
2-11B-rep1,0.9197121136769254,0.08028788632307456
2-11B-rep2,0.9116781118900789,0.08832188810992116
2-11C-rep2,0.7561361015719228,0.2438638984280773
2-12A-rep2,0.8463735376501879,0.15362646234981217
2-12B-rep2,0.9308567124064787,0.06914328759352133
2-12C-rep2,0.36880432895847526,0.6311956710415247
2-1A-rep1,0.9480628805856487,0.0519371194143513
2-1A-rep2,0.9717779991618645,0.02822200083813562
2-1B-rep1,0.9573335714606558,0.04266642853934424
2-1B-rep2,0.9729116439134573,0.027088356086542635
2-1C-rep1,0.9318042291396497,0.06819577086035038
2-1C-rep2,0.9648761368835161,0.03512386311648381
2-2A-rep1,0.5055808510613921,0.49441914893860806
2-2A-rep2,0.5932572478369014,0.4067427521630987
2-2B-rep1,0.29314015501281343,0.7068598449871866
2-2B-rep2,0.3058464530840617,0.6941535469159383
2-2C-rep1,0.8558328393438037,0.14416716065619634
2-2C-rep2,0.9999934804561568,6.519543843254586e-06
2-3A-rep1,0.7748932354292033,0.22510676457079667
2-3A-rep2,0.748005847710398,0.251994152289602
2-3B-rep1,0.9117857968802444,0.08821420311975552
2-3B-rep2,0.9168402567242971,0.08315974327570289
2-3C-rep1,0.9518318593856493,0.0481681406143508
2-3C-rep2,0.96555452741906,0.03444547258093991
2-4A-rep1,0.9900192456120672,0.009980754387932809
2-4A-rep2,0.9726619004881292,0.027338099511870762
2-4B-rep2,0.7865964769762493,0.21340352302375068
2-4C-rep2,0.24704524518101836,0.7529547548189817
2-5A-rep1,0.999992911614155,7.088385844972328e-06
2-5A-rep2,0.9999952412505427,4.758749457254424e-06
2-5B-rep1,0.9999951665499907,4.833450009242839e-06
2-5B-rep2,0.9999936045845548,6.395415445287815e-06
2-5C-rep1,0.9999946080265476,5.391973452327621e-06
2-5C-rep2,0.999986904607312,1.3095392688018547e-05
2-6A-rep2,0.9354006460119781,0.06459935398802195
2-6B-rep2,0.8984095520728611,0.10159044792713894
2-6C-rep2,0.9373034295278956,0.06269657047210431
2-7A-rep1,0.8783110547426162,0.1216889452573839
2-7A-rep2,0.8560054174302285,0.1439945825697715
2-7B-rep1,0.7369033746447007,0.2630966253552994
2-7B-rep2,0.7339851669553772,0.26601483304462287
2-7C-rep2,0.9575223643920958,0.042477635607904095
2-8A-rep2,0.9999939243513041,6.075648695870215e-06
2-8B-rep2,0.9978529495652638,0.002147050434736104
2-8C-rep1,0.9999882909638638,1.1709036136269559e-05
