,3_1,3_2,3_3
1-10A-rep2,0.9999925986961772,6.386841684904346e-06,1.01446213786477e-06
1-10B-rep1,0.9999900302767091,8.60321989561517e-06,1.3665033953252281e-06
1-10B-rep2,0.9999698697123852,2.972473275295173e-06,2.715781433967704e-05
1-10C-rep1,0.9998792205327078,0.00011888687318833388,1.892594103854865e-06
1-10C-rep2,0.999996967461942,2.616882233779742e-06,4.1565582433256927e-07
1-11A-rep2,0.9999927609901366,6.2467926003187956e-06,9.922172630480882e-07
1-11B-rep1,0.9999854594225369,1.2547568440281284e-05,1.9930090227565907e-06
1-11B-rep2,0.21039206512549308,0.00011177704032572133,0.7894961578341811
1-11C-rep1,0.999987269235488,1.0985818095472638e-05,1.7449464165782838e-06
1-11C-rep2,0.9999903716168412,8.308665660691726e-06,1.3197174980665215e-06
1-12A-rep1,0.999990670170609,8.051033263057539e-06,1.2787961278836754e-06
1-12A-rep2,0.9999935704814039,5.5482545192255706e-06,8.812640767806569e-07
1-12B-rep1,0.9999845583862164,1.332510392180486e-05,2.1165098617888855e-06
1-12B-rep2,0.9999935890026518,5.5322718922309694e-06,8.78725455855081e-07
1-12C-rep1,0.9999829083713105,1.4748958992997331e-05,2.342669696460463e-06
1-12C-rep2,0.999993682814696,5.451318226664862e-06,8.658670772244837e-07
1-1A-rep1,0.999993809156677,5.342293350815203e-06,8.485499721369566e-07
1-1A-rep2,0.9999967285927862,2.8230107103094046e-06,4.483965035746009e-07
1-1B-rep1,0.9999893666843623,9.175856739479744e-06,1.4574588981397132e-06
1-1B-rep2,0.9999161268135377,2.9856993936714276e-06,8.088748706877244e-05
1-1C-rep1,0.999990816858894,7.92445085600677e-06,1.2586902499540088e-06
1-1C-rep2,0.9999969580284271,2.6250227408681183e-06,4.169488321495152e-07
1-2A-rep1,0.9999598181641285,3.9640986772614774e-06,3.621773719413374e-05
1-2A-rep2,0.9999935724023562,5.546596862857401e-06,8.810007808190437e-07
1-2B-rep1,0.9999830697762573,1.4609677068239819e-05,2.3205466744526707e-06
1-2B-rep2,0.9999924858128691,6.484252605200614e-06,1.0299345255221455e-06
1-2C-rep2,0.978013438865487,0.021985591378296494,9.69756216400066e-07
1-3A-rep1,0.999984344889165,1.3509337929836209e-05,2.145772905226555e-06
1-3A-rep2,0.9999883007781143,1.009566419778221e-05,1.6035576879028818e-06
1-3B-rep2,0.3018597683661552,8.263055254627488e-06,0.6981319685785902
1-3C-rep1,0.9991026796134909,0.0008953674168111344,1.952969697989341e-06
1-3C-rep2,1.4168452070506242e-05,1.0141623418890948e-05,0.9999756899245106
