,4_1,4_2,4_3,4_4
1-10A-rep2,1.0123571835427106e-06,4.627992127464393e-06,2.484457321273229e-06,0.9999918751933677
1-10B-rep1,1.363668037029725e-06,6.234010132434777e-06,3.346620237857834e-06,0.9999890557015926
1-10B-rep2,2.7156836293443325e-05,2.1538943067178805e-06,1.1562808086507783e-06,0.9999695329885913
1-10C-rep1,1.8886672895319922e-06,0.00011560556740440996,4.635037268670755e-06,0.9998778707280372
1-10C-rep2,4.147933284424369e-07,1.896228218422437e-06,1.0179572372448383e-06,0.999996671021216
1-11A-rep2,9.901584627677324e-07,6.060772669860074e-05,2.429978748642082e-06,0.99993597213609
1-11B-rep1,1.988873890449465e-06,0.04315292640206786,0.0004554693048016595,0.9563896154192398
1-11B-rep2,0.8928352761323951,4.272978080061054e-06,2.2938741860963525e-06,0.10715815701533875
1-11C-rep1,1.7413259127932268e-06,0.05632358304083991,4.27344220309906e-06,0.943670402191044
1-11C-rep2,1.3169792077976057e-06,0.017385931965630035,3.2320397266577364e-06,0.9826095190154354
1-12A-rep1,1.2761427388085325e-06,5.8338881224302284e-06,3.1318216751595427e-06,0.9999897581474635
1-12A-rep2,8.794354859694526e-07,5.383035906565873e-05,2.158250039831032e-06,0.9999431319554085
1-12B-rep1,2.1121185216961597e-06,0.00012928304602900895,5.1834159029340525e-06,0.9998634214195462
1-12B-rep2,8.769021322990197e-07,4.008759191725918e-06,2.1520328576188647e-06,0.9999929623058184
1-12C-rep1,2.337809188398371e-06,1.0687297621141565e-05,5.737290403304691e-06,0.9999812376027872
1-12C-rep2,8.640704328885374e-07,3.950099061863564e-06,2.1205421841065893e-06,0.9999930652883211
1-1A-rep1,8.467892582823853e-07,3.87109815059356e-06,2.078131914817831e-06,0.9999932039806764
1-1A-rep2,4.4746607189597833e-07,2.0455917058790104e-06,1.0981404354270917e-06,0.9999964088017869
1-1B-rep1,1.454434833518017e-06,6.648950655811085e-06,3.5693738624972155e-06,0.999988327240648
1-1B-rep2,4.732533175227402e-07,2.163478131430916e-06,1.1614257187582952e-06,0.9999962018428324
1-1C-rep1,1.2560785755031073e-06,5.742164774849765e-06,3.082581586552731e-06,0.999989919175063
1-1C-rep2,4.160836533071328e-07,4.903494079525761e-05,1.0211238637172225e-06,0.9999495278516878
1-2A-rep1,0.0017444451114565823,7.40486344434789e-05,1.5420193535386556e-06,0.9981799642347464
1-2A-rep2,8.791727363071296e-07,4.0191392607815335e-06,2.1576052176943075e-06,0.9999929440827853
1-2B-rep1,2.3157320599521235e-06,0.10008557852040327,5.683110234197751e-06,0.8999064226373026
1-2B-rep2,1.0277974689050827e-06,0.07562343453411582,2.5223498068847314e-06,0.9243730153186084
1-2C-rep2,9.677440188092187e-07,0.11351943965654399,5.718666347840305e-05,0.8864224059359588
1-3A-rep1,2.1413208582780735e-06,9.78905097488067e-06,5.255082267433317e-06,0.9999828145458992
1-3A-rep2,1.6002305151177115e-06,7.315455796121796e-06,3.927175589445794e-06,0.9999871571380992
1-3B-rep2,0.8438263627846349,5.987522165399898e-06,3.2142974470148265e-06,0.15616443539575275
1-3C-rep1,1.9489176298313264e-06,8.909479376016513e-06,0.0005567029949953277,0.9994324386079987
1-3C-rep2,0.9582761587199227,7.348758480776834e-06,0.041703683243742434,1.2809277854083724e-05
1-3C-rep3,0.01021523991367775,4.316395031493536e-06,2.3171818235950557e-06,0.9897781265094672
1-4A-rep1,1.417648533165428e-06,0.0052255691229842974,0.0204783641253229,0.9742946491031595
1-4A-rep3,9.926636029569784e-07,0.020019962898660197,5.86592304434081e-05,0.9799203852072934
1-4B-rep3,4.3289623423145775e-07,0.001080799516636734,0.010053708240833206,0.9888650593462959
1-4C-rep1,1.7613026524982212e-06,8.051797273091631e-06,4.322467742722891e-06,0.9999858644323315
1-4C-rep2,3.9138313572925936e-07,1.7892084932303167e-06,0.99999470072257,3.1186858009587088e-06
1-4C-rep3,7.784301987957489e-07,3.5585946248736023e-06,1.9103698160469275e-06,0.9999937526053603
1-5A-rep1,1.8350771183561005e-06,8.389057335793357e-06,4.503519959078203e-06,0.9999852723455867
1-5A-rep2,5.097044147784514e-07,2.3301143680075424e-06,0.9999930986676363,4.061513580787347e-06
1-5A-rep3,8.409010143813255e-07,3.844180036254378e-06,2.063681391912233e-06,0.9999932512375574
1-5B-rep1,2.1756230178711445e-06,0.0005028430675691012,5.3392642665556575e-06,0.9994896420451465
1-5B-rep2,0.015947348104674172,2.574241329819879e-06,0.9840455906141045,4.487039891620322e-06
1-5B-rep3,1.05918147809829e-06,4.84204944843776e-06,2.599370282146347e-06,0.9999914993987913
1-5C-rep1,1.7846246035409038e-06,8.158413601377004e-06,4.379702869767281e-06,0.9999856772589252
1-5C-rep2,5.636276455323275e-07,2.576624484667228e-06,0.7610160711481366,0.23898078859973326
1-5C-rep3,9.34847567969931e-07,5.722213972296676e-05,2.294238557570703e-06,0.9999395487741515
1-6A-rep1,1.13605780513207e-06,5.1934896733746355e-06,0.00013147754389892426,0.9998621929086224
1-6A-rep2,0.009075230944254449,3.5383144278470423e-06,0.9909150632706137,6.167470704060333e-06
1-6A-rep3,0.9999856181354136,4.384867243887982e-06,2.353939943466872e-06,7.643057399036209e-06
1-6B-rep1,2.010159115888921e-06,0.003994032292774407,4.933194146869657e-06,0.9959990243539627
