,5_1,5_2,5_3,5_4,5_5
1-10A-rep2,4.642247850963473e-06,2.159472330285611e-06,0.11112506610529178,0.8888659325674614,2.1996070655807137e-06
1-10B-rep1,6.253206667912231e-06,2.9088551943884994e-06,4.488348278776076e-06,0.9999833866723218,2.962917537119756e-06
1-10B-rep2,0.000615930336328762,1.0050324606293854e-06,1.550759805260185e-06,0.9993804901599782,1.0237114273402073e-06
1-10C-rep1,0.00011563156700978085,4.028730823763308e-06,6.216310489904411e-06,0.9998700197851329,4.1036065435950945e-06
1-10C-rep2,1.9020724510766434e-06,8.848025698253186e-07,1.3652457155630141e-06,0.9999949466322522,9.012470115670977e-07
1-11A-rep2,4.54045406183391e-06,0.02736966849836164,0.2451335641735046,0.7274900754993164,2.1513747555037863e-06
1-11B-rep1,0.11074058025927523,0.018703553145354445,0.07255085978738726,0.7980006854785298,4.321329453274724e-06
1-11B-rep2,4.2861411911102095e-06,1.9938192882094644e-06,3.076452684096825e-06,0.9999886127115472,2.0308752894539783e-06
1-11C-rep1,0.1187534733150014,0.012529193688854714,0.08936072507278124,0.7793528244515762,3.78347178653246e-06
1-11C-rep2,0.06661635135825239,2.8092631154136296e-06,0.06885239537600854,0.8645255825281277,2.8614744959116187e-06
1-12A-rep1,5.8518540091055905e-06,2.7221547016089894e-06,0.9407116183138079,0.05927703493034723,2.7727471342367074e-06
1-12A-rep2,4.03272590369956e-06,1.8759360301837015e-06,0.9402144553060252,0.05977772523092121,1.91080111965304e-06
1-12B-rep1,9.685264416310522e-06,4.505373515156367e-06,0.7493490710544418,0.25063214919977933,4.589107847335771e-06
1-12B-rep2,4.021109024850924e-06,1.8705321118141332e-06,0.7257284563902705,0.2742637466718258,1.9052967671031964e-06
1-12C-rep1,1.072017757581217e-05,4.986792518178456e-06,0.7038961867307779,0.29608302682489546,5.079474232540695e-06
1-12C-rep2,3.962268324586216e-06,1.843160702920079e-06,0.7135917769059438,0.2864005402483801,1.877416648634488e-06
1-1A-rep1,3.883024222167464e-06,1.8062980768808215e-06,2.787108440449161e-06,0.9999896837003459,1.8398689146095347e-06
1-1A-rep2,2.051896090680889e-06,9.544972553602374e-07,1.4727842490946748e-06,0.9999945485854018,9.722370032359225e-07
1-1B-rep1,6.669423206140726e-06,3.1024700393014347e-06,0.0015699472762749894,0.9984171206996811,3.16013079838691e-06
1-1B-rep2,2.1701456756420827e-06,1.0095043801389062e-06,1.5576599535632365e-06,0.9999674300413756,2.7832648615269462e-05
1-1C-rep1,5.759848521359325e-06,2.6793557577780917e-06,0.7119963935778469,0.2879924380651206,2.7291527533643284e-06
1-1C-rep2,1.9079893458432806e-06,8.875549800670753e-07,0.7129786011230942,0.28701769928200344,9.040505765538942e-07
1-2A-rep1,2.8812907292188314e-06,0.5407971030054811,0.006229974024023224,0.45296867645592465,1.3652238418650121e-06
1-2A-rep2,4.031521045881782e-06,0.5691588668691897,0.02285880437665649,0.40797638700287847,1.9102302294605964e-06
1-2B-rep1,0.19320785716676306,4.93969999473513e-06,0.1651368296194062,0.641645342007362,5.031506474005782e-06
1-2B-rep2,0.16166184625550778,2.1924081083955336e-06,0.15671242233701876,0.6816213058443956,2.233154969494538e-06
1-2C-rep2,0.15791648984055756,2.064307667789236e-06,0.06632515089624057,0.7757541922818078,2.102673726317716e-06
1-3A-rep1,9.819172919235739e-06,0.6379412356616299,0.22862123403757212,0.13342305857100875,4.6525568700144095e-06
1-3A-rep2,7.337977516886218e-06,0.6067104028951555,0.17447657778453046,0.21880220443511975,3.4769076773583812e-06
1-3B-rep2,6.005960605446513e-06,2.7938417250934526e-06,0.013950554325000255,0.9785454033634539,0.007495242509215304
1-3C-rep1,8.936899674992134e-06,0.6842708995666048,0.006077502021407803,0.3096384269974177,4.234514894636408e-06
1-3C-rep2,7.3713825761234734e-06,3.4290062099515764e-06,0.9999750094570198,1.069741840794162e-05,3.49273578621499e-06
1-3C-rep3,4.329691773588083e-06,0.6559612543303707,3.107711875146323e-06,0.3440292567553929,2.051510587698256e-06
1-4A-rep1,0.03549615839272345,8.331734422796546e-05,0.727301767921273,0.23711567613827925,3.0802034964482568e-06
1-4A-rep3,0.030589834050666717,0.0012390222549920813,0.6597795274384568,0.30838945943808077,2.156817803613855e-06
1-4B-rep3,0.02172548085409885,9.234181326812187e-07,0.19311006216394888,0.7851625929835582,9.405802615041227e-07
1-4C-rep1,8.076582231653456e-06,3.7570496906821193e-06,0.9731379144711051,0.026846425020874518,3.826876098138857e-06
1-4C-rep2,1.7947230073285622e-06,8.348659527191423e-07,0.9999939155101518,2.6045185875903066e-06,8.503823006479183e-07
1-4C-rep3,3.5695586300519898e-06,1.660480728388868e-06,0.9615421855870633,0.03845089303209112,1.6913414870852721e-06
1-5A-rep1,8.414878679507646e-06,3.914417811047217e-06,0.8039487293999865,0.1960349541345492,3.987168973670373e-06
1-5A-rep2,2.3372952200885582e-06,1.0872586982710358e-06,0.9999920760758173,3.391904388893909e-06,1.1074658754783652e-06
1-5A-rep3,3.8560232431172604e-06,1.793737811030855e-06,0.7990470735286129,0.20094544963512218,1.8270752107395228e-06
1-5B-rep1,9.976466839736862e-06,0.00037431145074855296,0.7864197850322402,0.2131911999637137,4.727086457837979e-06
1-5B-rep2,2.5821741303815494e-06,1.201171020065413e-06,0.9999912458846191,3.747274922933201e-06,1.2234953074657972e-06
1-5B-rep3,6.484736809673926e-05,2.2593535437356863e-06,0.8200123212515343,0.17991827068221022,2.3013446149544085e-06
1-5C-rep1,8.183526202509821e-06,3.8067976906531382e-06,0.22268109272018471,0.7773030394072358,3.877548686391141e-06
1-5C-rep2,2.58456462534476e-06,1.2022830261224934e-06,0.9999912377803366,3.7507440312801706e-06,1.224627980640544e-06
1-5C-rep3,4.286822023321067e-06,1.994135996487031e-06,0.1380923532660997,0.8618463862358475,5.49795400329484e-05
1-6A-rep1,5.209485481136448e-06,0.016603316375547496,3.7391991716106703e-06,0.9833852665620999,2.4683776998183453e-06
1-6A-rep2,3.549215994651637e-06,1.6510177786105545e-06,0.9999879674085634,5.150654998958675e-06,1.681702664257262e-06
1-6A-rep3,4.398374728687499e-06,2.0460278791139607e-06,3.1570102655039603e-06,0.9999883145329269,2.084054199795633e-06
1-6B-rep1,9.217725236882105e-06,4.287884498258969e-06,0.00023432018729706443,0.9921197224906149,0.007632451712352978
1-6B-rep2,3.35257076717653e-06,1.5595427128130487e-06,2.4063662104031665e-06,0.9999910929928152,1.5885274944573124e-06
1-6C-rep2,3.1761981214830706e-06,1.4774980093801536e-06,0.10886708135986702,0.8911267599860477,1.5049579544203712e-06
1-7A-rep1,1.149652411902977e-05,5.347931977469355e-06,0.7868214174889313,0.21315629072934592,5.447325626224076e-06
1-7A-rep2,3.257605240465171e-06,1.5153668234921852e-06,0.686389161263435,0.313604522233924,1.5435305769623652e-06
1-7B-rep2,0.015239137833612203,2.0940349849369667e-06,0.7056337739385018,0.2791228612393624,2.1329535386227246e-06
1-7C-rep1,7.885431368974605e-06,3.668130483410683e-06,0.5487363014573604,0.45124840867649857,3.736304288610638e-06
1-7C-rep2,3.6006737353607757e-06,1.6749547959366186e-06,0.43081675899977895,0.5691762592871282,1.7060845614924883e-06
1-8A-rep1,1.0285199438023384e-06,4.784450186835872e-07,7.382381495786007e-07,0.9999972674597599,4.873371280701365e-07
1-8A-rep2,1.6783471524954616e-06,7.80730446280541e-07,1.2046629758371304e-06,0.9999955410187633,7.952406622063698e-07
1-8B-rep1,5.759848521359325e-06,2.6793557577780917e-06,0.0001464188560239788,0.9998424127869435,2.7291527533643284e-06
1-8B-rep2,1.5874243858941897e-06,7.384351606835617e-07,1.1394015724246268e-06,0.9999957825795809,7.521593002758997e-07
1-8C-rep1,0.00027452124578332746,4.968372456944727e-06,0.020323397460028494,0.9793920522099048,5.0607118264334674e-06
1-8C-rep2,5.324850426054349e-05,1.8552363855416539e-06,2.862619993539804e-06,0.9999401439225973,1.8897167630854165e-06
1-9A-rep1,5.168909363315891e-06,2.4044637654403235e-06,0.20283410912471952,0.7971558683503783,2.449151773431539e-06
1-9A-rep2,2.145702132166225e-06,9.981337774729386e-07,0.17136650898652153,0.8286293304930398,1.0166845291478528e-06
1-9B-rep2,3.4816026722981173e-06,1.619565537483273e-06,0.5928382617666604,0.4071549873992603,1.6496658695080711e-06
1-9C-rep1,8.447364041233846e-06,3.929529291958881e-06,0.6406349167734519,0.3593487037719069,4.002561308046933e-06
1-9C-rep2,2.649002567071542e-06,1.2322581495210993e-06,0.5370179466835351,0.46297691689554343,1.255160204783702e-06
2-10A-rep1,0.09549721580417897,0.09707756168022032,0.7234962407090576,0.08392708470710024,1.8970994429166107e-06
2-10A-rep2,0.059892032976458974,0.07625164422878426,0.612171273980661,0.25168301750865774,2.031305438148391e-06
2-10C-rep1,0.11928472792031442,4.645413918457214e-06,7.167849264319604e-06,0.8804520368036807,0.00025142201282215876
2-10C-rep2,1.0242261672721623e-06,4.764476476023726e-07,7.351562164965617e-07,0.9999972788673337,4.85302634976055e-07
2-11B-rep1,0.16686381955085752,6.090087985527675e-07,0.00032434799344350097,0.8328106031194078,6.203274927446357e-07
2-11B-rep2,0.17616222255391914,2.2278127601732794e-06,3.437503381690732e-06,0.8238298429123068,2.2692176321703106e-06
2-11C-rep2,0.4228522167589486,2.837198435602136e-06,4.377782276528219e-06,0.577137678331333,2.889929006212184e-06
