,6_1,6_2,6_3,6_4,6_5,6_6
1-10A-rep2,0.21336060122319558,8.882138148869045e-07,6.981216666929068e-07,0.7866301185521339,5.484950994211182e-06,2.2089381947284416e-06
1-10B-rep1,8.004244910514185e-06,1.196440260633373e-06,9.403826588288531e-07,0.9999794951226546,7.388329349404334e-06,2.975480166068372e-06
1-10B-rep2,2.765545466287742e-06,4.13381896165168e-07,2.7010475731228012e-05,0.999966229798625,2.552740572548678e-06,1.0280577087902816e-06
1-10C-rep1,1.1085749938125952e-05,0.00010862672276551326,1.3024147959581857e-06,0.9998646314036898,1.023271683259274e-05,4.12099197808885e-06
1-10C-rep2,2.4347100240951854e-06,3.639300306726874e-07,2.860431073177661e-07,0.9999937628806997,2.24736245947225e-06,9.050736787560013e-07
1-11A-rep2,0.7159882047251668,8.6873745615442e-07,6.828135643063634e-07,0.28400271854281484,5.364679420629593e-06,2.1605015773539463e-06
1-11B-rep1,0.8448494371696844,1.7449665951146394e-06,1.371515469909676e-06,0.15513233109177044,1.0775621928328167e-05,4.339634551805255e-06
1-11B-rep2,0.1462247180389183,8.200793683505876e-07,0.8537579034740784,9.45471291583141e-06,5.064203090940859e-06,2.0394916281380344e-06
1-11C-rep1,0.6733212965752078,1.527780344502217e-06,1.2008105960166327e-06,0.326662740888963,9.434440423087463e-06,3.799504465662956e-06
1-11C-rep2,0.5557106410949356,1.1554774164703182e-06,9.081865270413344e-07,0.4442772862601148,7.135373147809482e-06,2.8736078583875894e-06
1-12A-rep1,0.9704859169573087,1.1196491619669819e-06,8.80026099530137e-07,0.02950238473807027,6.914124370921287e-06,2.7845049886771606e-06
1-12A-rep2,0.9792124320498774,7.715929826962313e-07,6.064595822088536e-07,0.020779506201798636,4.764787066619699e-06,1.918908692586781e-06
1-12B-rep1,0.8561698081833545,1.8530949213067345e-06,1.456502582283684e-06,0.1438108303330508,1.1443342425701022e-05,4.6085436654156834e-06
1-12B-rep2,0.8053415117927748,7.693703043437268e-07,6.04712593038042e-07,0.1946504496818618,4.751061450517979e-06,1.9133810155509666e-06
1-12C-rep1,0.8107446502926183,2.0511033521735063e-06,1.6121340005965808e-06,0.18923391939453177,1.266609591314051e-05,5.1009795839850766e-06
1-12C-rep2,0.8008000790483673,7.58112206095685e-07,5.95863910231058e-07,0.19919200005299315,4.681539769878069e-06,1.885382753417123e-06
1-1A-rep1,4.970374395094368e-06,7.429502849045302e-07,5.839468858447809e-07,0.9999872671415642,4.587910968661815e-06,1.847675901459558e-06
1-1A-rep2,2.6264882533069163e-06,3.9259621931472764e-07,3.08574267109581e-07,0.9999932715927504,2.424383619532031e-06,9.76364890317213e-07
1-1B-rep1,8.537006529997078e-06,1.2760751866002526e-06,1.0029744203069642e-06,0.9999781303203797,7.880095700067983e-06,3.1735277832685288e-06
1-1B-rep2,2.7778507999476694e-06,4.152212447578035e-07,8.073926333382568e-05,0.9999124709335276,2.564099027824631e-06,1.0326320661033458e-06
1-1C-rep1,7.851448823747142e-05,1.1020456725363687e-06,8.66190042068595e-07,0.9999099711317034,6.805418251701195e-06,2.740726092749122e-06
1-1C-rep2,2.442283807702627e-06,3.6506212742067235e-07,2.8693291701821696e-07,0.9999937434785567,2.2543534509197243e-06,9.078891401965218e-07
1-2A-rep1,0.6833624031788026,5.512864712029035e-07,3.6021194903588155e-05,0.31659624898399086,3.4043371400438706e-06,1.3710186917462108e-06
1-2A-rep2,0.7644041518722982,7.71362455083271e-07,6.062783912403264e-07,0.23558778878797357,4.763363498736935e-06,1.9183353832769358e-06
1-2B-rep1,0.7329194857831525,2.031734144424522e-06,1.5969101171468917e-06,0.2670592862771161,1.2546486024711335e-05,5.0528094451274535e-06
1-2B-rep2,0.6348714460814152,9.017605609377289e-07,7.087691895897121e-07,0.3651191321549686,5.568605669441894e-06,2.242628196239804e-06
1-2C-rep2,0.2376122624234954,8.490718216292977e-07,6.673566942136594e-07,0.6804361119374146,0.08194799761633256,2.1115942416448703e-06
1-3A-rep1,0.9998374319809433,1.8787154723624106e-06,1.476639920281356e-06,0.00014293884713519102,1.1601555982650662e-05,4.67226054624812e-06
1-3A-rep2,0.9673410729327268,1.403989838285046e-06,1.1035132639186246e-06,0.03264425791789051,8.67000189627145e-06,3.491644384289762e-06
1-3B-rep2,0.15934961947556278,1.1491345001456614e-06,0.744709307494433,0.09592996985813254,7.096203992119696e-06,2.85783337942693e-06
1-3C-rep1,0.9505112629925127,1.709911031273681e-06,1.3439623647391314e-06,0.048808579242288215,0.0004520873405606904,0.00022501655124251886
1-3C-rep2,9.43552064604066e-06,0.04388564163767555,1.1085367941331848e-06,1.6260315945987844e-05,8.709470399197778e-06,0.9560788445185391
1-3C-rep3,0.8762347995156338,8.284119732836436e-07,6.511183881673532e-07,0.1155210061340057,5.115659090550316e-06,0.00823759916090864
1-4A-rep1,0.9070740983640815,1.243800467536412e-06,9.776070140729566e-07,0.09291290617515165,7.680790927444467e-06,3.0932623579065898e-06
