,7_1,7_2,7_3,7_4,7_5,7_6,7_7
1-10A-rep2,0.8399533569987339,0.16003547454783112,3.910650543711e-07,2.5498718409665377e-06,2.838187609646017e-06,3.95221221024805e-06,1.4371167198236283e-06
1-10B-rep1,0.9999780087588227,6.94713042646868e-06,5.26771770411555e-07,3.434723939086329e-06,3.823090545120973e-06,5.3237020279978906e-06,1.9358224682258507e-06
1-10B-rep2,0.999965716245695,2.4003021522785734e-06,2.6867568203525245e-05,1.1867310324361338e-06,1.3209155292157529e-06,1.8393916122845302e-06,6.688457754022099e-07
1-10C-rep1,0.9998625728294434,9.621663086621572e-06,7.295703675192835e-07,4.7570370079032755e-06,0.0001122645762825936,7.373241056739017e-06,2.6810827552361196e-06
1-10C-rep2,0.999993310762029,2.1131598832507482e-06,1.6023205331247856e-07,1.0447653048897224e-06,1.1628976388876346e-06,1.6193496976944244e-06,5.888333930459505e-07
1-11A-rep2,0.46026334138546415,0.5225089590755112,3.8248995385204343e-07,0.000114655366437635,0.017107390528509986,3.865549859325334e-06,1.4056042637952507e-06
1-11B-rep1,0.5759720749793815,0.2381417023388997,7.682783099094083e-07,5.009425430798953e-06,0.18586985721393307,7.764434288754725e-06,2.823329756283752e-06
1-11B-rep2,8.50303417812614e-06,0.06850862604756369,0.9079677303585462,2.354272434552355e-06,0.023507810371101296,3.649039968440644e-06,1.326876207798974e-06
1-11C-rep1,0.6163217417840865,0.21520801904844963,6.72655009637109e-07,4.385930291104765e-06,0.16845591061783657,6.798038619552926e-06,2.4719257070341077e-06
1-11C-rep2,0.6844588837244117,0.18976618197846484,5.087365465813167e-07,3.3171283910407263e-06,0.12576409745394163,5.141433039655138e-06,1.8695452045775337e-06
1-12A-rep1,0.005793858859124471,0.9866751379688762,4.929619926732961e-07,3.214273149018254e-06,7.585583474157183e-05,4.982011010328697e-06,0.007446458091105699
1-12A-rep2,8.000300681509177e-06,0.9928097131788527,3.3971893878867755e-07,2.215078402373095e-06,2.465538845915792e-06,3.433294084771446e-06,0.007173832890193929
1-12B-rep1,0.16103468131682305,0.8389420177590549,8.158853158728646e-07,5.319838653821812e-06,5.921356481535872e-06,8.245563932426687e-06,2.9982797383547714e-06
1-12B-rep2,0.20368878043160346,0.7963015454602506,3.3874033232054815e-07,2.2086975686765542e-06,2.4584365269498824e-06,3.423404015615079e-06,1.2448297024119052e-06
1-12C-rep1,0.18552409888961413,0.8144501104170698,9.03064953668509e-07,5.888278357231947e-06,6.55407005448076e-06,9.126625600120438e-06,3.318654350465721e-06
1-12C-rep2,0.1971356542667003,0.8028548131851445,3.3378358823559656e-07,2.17637797881849e-06,2.4224625387633905e-06,3.3733097812245253e-06,1.2266142681235452e-06
1-1A-rep1,0.6254619697537973,4.313941022403139e-06,3.271080590576242e-07,2.132851348954218e-06,2.374014322823409e-06,3.3058450266212837e-06,0.3745255764864228
1-1A-rep2,0.6235365822752394,2.2796101148666034e-06,1.7285327643787581e-07,1.1270598006169388e-06,1.2544972300367012e-06,1.7469032890647361e-06,0.3764568368010496
1-1B-rep1,0.8686690631498332,7.409530579331915e-06,5.618336351254084e-07,3.66333874505361e-06,4.077554984962002e-06,5.67804698489772e-06,0.13130954654523744
1-1B-rep2,0.8779791891958582,2.9215283473724228e-05,1.8281468067970843e-07,1.192011408767101e-06,1.3267929613423569e-06,1.8475760109961312e-06,0.12198704632560638
1-1C-rep1,0.35863694503100674,6.399028295935801e-06,4.852114840856924e-07,3.163737302412165e-06,3.5214632624349828e-06,4.903682214817115e-06,0.6413445818464336
1-1C-rep2,0.35180175673162917,2.1197334033196833e-06,1.60730495776054e-07,1.0480153124984486e-06,1.1665151270994521e-06,2.5190703519130258e-05,0.6481685575705131
1-2A-rep1,0.3089797862582943,0.6857462739551204,2.427218268475956e-07,1.5826255620358435e-06,1.7615741264771044e-06,3.8040905356619814e-05,0.005232311959713244
1-2A-rep2,0.22388511656270035,0.7663952113844504,3.3961744150598053e-07,2.2144166069500807e-06,2.464802220827604e-06,3.4322683250020718e-06,0.009711220948254905
1-2B-rep1,0.5350108016281261,0.35413591734936983,8.945370314792247e-07,5.83267352010995e-06,0.09522653335655999,0.015616733140123342,3.2873152690863208e-06
1-2B-rep2,0.5814356546977361,0.3395004512601607,3.9702944999419985e-07,2.588761647861159e-06,0.0790554367258026,4.012490051351174e-06,1.4590351514957814e-06
1-2C-rep2,0.7824387283535592,0.11384779904093117,3.738315184801907e-07,5.724870669207156e-05,2.7131137696563313e-06,0.10365176316796712,1.373785562274061e-06
1-3A-rep1,1.9479554180651904e-05,0.9999568973674365,8.271655951160166e-07,5.393389757605834e-06,6.003224059381066e-06,8.359565571953105e-06,3.039733398617725e-06
1-3A-rep2,0.038533803738534815,0.9614485424103232,6.181522174766366e-07,4.0305542905374526e-06,4.4862918455826465e-06,6.247218242581014e-06,2.2716345457160756e-06
1-3B-rep2,0.05394188387905735,0.16483802205558476,0.7812061507238587,3.2989192373666184e-06,3.671930312061395e-06,5.113209488050358e-06,1.859282461651215e-06
1-3C-rep1,0.06569503923673109,0.9338419321074709,7.52843959677968e-07,0.0004464369224748295,5.463828522829932e-06,7.608450452408003e-06,2.766610388165096e-06
1-3C-rep2,1.4623608012870192e-05,8.189378530346037e-06,6.20966235291136e-07,4.048902605491622e-06,4.50671481717053e-06,6.275657489304824e-06,0.9999617347723095
1-3C-rep3,0.1324724114271825,0.8671428294172456,3.6473534809956786e-07,0.00037672084756476277,2.647097546061435e-06,3.6861168753275185e-06,1.340358237602006e-06
1-4A-rep1,0.11017436579948181,0.8796128323255429,5.476236410133039e-07,3.5706849437441948e-06,3.9744247543997845e-06,0.006188065882313896,0.00401664325932214
1-4A-rep3,0.16715878633585105,0.830637581514222,3.8345765974192685e-07,2.500269144097487e-06,2.78297630161204e-06,0.002196556286355761,1.4091604657587827e-06
1-4B-rep3,0.7509335832005759,0.23790570054591975,1.6722506399221234e-07,1.0903620178062146e-06,1.2136500035990786e-06,0.01115763048455847,6.145318604938087e-07
1-4C-rep1,1.6022592155883223e-05,0.9999645466268886,6.80371678582165e-07,4.436245492192479e-06,4.937854831369119e-06,6.8760254222247695e-06,2.500283530977539e-06
1-4C-rep2,3.5604622764979656e-06,1.993897354168518e-06,1.5118887580870737e-07,9.85800834881501e-07,1.0972660155652472e-06,1.5279568305733212e-06,0.9999906834278126
1-4C-rep3,9.525925558315638e-05,0.9998961529847407,3.0070167944004324e-07,1.9606731319130013e-06,2.182367795964204e-06,3.0389748095396697e-06,1.1050422592662804e-06
1-5A-rep1,0.09189478146169196,0.8787754481560826,7.088694537657882e-07,4.622060291184874e-06,5.144679837911085e-06,7.164031864597245e-06,0.02931213074077791
1-5A-rep2,0.003237944963397038,2.5966810559018576e-06,1.9689543639486096e-07,1.2838225335308214e-06,1.428985233340342e-06,1.9898800446726787e-06,0.9967545587722992
1-5A-rep3,0.10297746031597242,0.8762478430355085,3.2483349420481786e-07,2.1180204434468205e-06,2.3575064765957446e-06,3.2828576415717065e-06,0.020766613430463175
1-5B-rep1,0.08849306314126482,0.9114829353660994,8.404158263422894e-07,5.479785591527898e-06,6.099388729864932e-06,8.493476094143079e-06,3.088426393872514e-06
1-5B-rep2,0.004374519022011049,2.868734896241396e-06,2.17524138366096e-07,1.4183284058510518e-06,1.5786997774639409e-06,2.1983594444579546e-06,0.9956171993313265
1-5B-rep3,0.07463719347741948,0.9228915315676093,4.0915270819675205e-07,2.6678092497011325e-06,2.969460282572749e-06,4.135011070707327e-06,0.002461093521660034
1-5C-rep1,0.707050008520912,0.29293030341341375,6.893805411936463e-07,4.49498621789883e-06,5.003237411467022e-06,6.9670714935000506e-06,2.533390010170302e-06
1-5C-rep2,5.127384387214143e-06,0.1862731681152438,2.177255145937135e-07,1.4196414446063751e-06,1.5801612824174334e-06,2.2003946086250096e-06,0.8137162865775187
1-5C-rep3,0.806142200772449,0.19379453783665704,3.611240009753263e-07,2.354646396786832e-06,5.556891392508257e-05,3.649619596830403e-06,1.3270869742269626e-06
1-6A-rep1,0.938275706736814,0.06164741606322145,6.478292888237124e-05,2.8614391706178223e-06,3.1849840722680675e-06,4.4351306788466245e-06,1.6127171604414346e-06
1-6A-rep2,0.037926602387583074,3.9430904157940765e-06,0.0026305575746426186,1.949499464341292e-06,2.1699307140894115e-06,3.0216560154337575e-06,0.9594317558611646
1-6A-rep3,8.725686610138046e-06,4.886478803637412e-06,0.9999761766157292,2.4159191917205344e-06,2.689088841911417e-06,3.7445902868872063e-06,1.361620536524027e-06
1-6B-rep1,0.9174259414548495,0.08243803187743427,7.765003865855032e-07,0.0001189135765187473,5.635517035999277e-06,7.847528882530474e-06,2.8535448924377357e-06
1-6B-rep2,0.9316636590773522,0.06795559583019288,2.8242258196774144e-07,1.8414874480940756e-06,2.049705704627943e-06,2.854241166339245e-06,0.0003737172355538568
1-6C-rep2,0.843381130620079,0.15661122797550067,2.6756490972041975e-07,1.744610573869961e-06,1.9418748953822927e-06,2.704085398097152e-06,9.832686431562967e-07
1-7A-rep1,0.0694589156788879,0.9276735032744928,9.684631362049507e-07,6.314695860499366e-06,7.028702879105793e-06,9.787557822674089e-06,0.002843481626920762
1-7A-rep2,0.19784623615560573,0.7995305950286058,2.7442266505797795e-07,1.7893253777933099e-06,1.991645633042149e-06,2.7733917809535234e-06,0.0026163400303315537
1-7B-rep2,0.13556298275769516,0.8523052752375894,3.7921489161402173e-07,2.4726049105993195e-06,0.011178455432482918,3.832451169422582e-06,0.0009466023012608308
1-7C-rep1,0.37060441897977303,0.6293766101082665,6.64269297484243e-07,4.3312527098531475e-06,4.820990442677021e-06,6.7132902801353805e-06,2.441109230317996e-06
1-7C-rep2,0.4936153340894467,0.5063760032935252,3.033228207275788e-07,1.9777638289353425e-06,2.2013909498928484e-06,3.0654647924353363e-06,1.1146746360977906e-06
1-8A-rep1,0.9985227578222438,1.1426640069992312e-06,8.664342037673706e-08,5.649433907587603e-07,6.288219298092806e-07,8.756425053148422e-07,0.0014739434625029972
1-8A-rep2,0.9992685502468212,1.8646066693597085e-06,1.4138530530498235e-07,9.218783542380197e-07,1.026115775923636e-06,1.4288792202990928e-06,0.0007260668878538054
1-8B-rep1,0.9992683263699562,6.399028295935801e-06,4.852114840856924e-07,3.163737302412165e-06,3.5214632624349828e-06,7.604542361836509e-05,0.0006420587660805432
1-8B-rep2,0.9999944173187907,1.7635937043481468e-06,1.3372591572292888e-07,8.719366332993412e-07,9.70527110134524e-07,1.3514712988014274e-06,4.914265470950982e-07
