,8_1,8_2,8_3,8_4,8_5,8_6,8_7,8_8
1-10A-rep2,1.5071312342285741e-06,4.512686360260382e-07,0.7778558383318893,1.7201721522008068e-06,3.6389037065792546e-06,0.18721271634219125,2.6588374694196986e-06,0.034921469012721036
1-10B-rep1,2.0301322933857193e-06,6.078667936687747e-07,0.9999769348909229,2.3171021587600137e-06,4.901667326288816e-06,6.009132958507136e-06,3.5815008586798734e-06,3.617706687861095e-06
1-10B-rep2,7.014316328095773e-07,5.358111553940773e-05,0.9999386596757752,8.005826792179559e-07,1.6935765848215457e-06,2.076217375876533e-06,1.2374454627403042e-06,1.249954949911436e-06
1-10C-rep1,2.8116982562168935e-06,8.418850383982915e-07,0.990447780998659,3.209146576549777e-06,0.009527062947391054,8.322545636980225e-06,4.960316995990081e-06,5.010461445741163e-06
1-10C-rep2,0.0013867175619223515,1.8489957154442992e-07,0.9940726924066945,7.048109895814631e-07,0.004465202974045137,1.8278447201820838e-06,1.0894129785558867e-06,7.158008907825881e-05
1-11A-rep2,1.4740835771645578e-06,4.413734319532699e-07,0.3189401384750665,1.6824530351883452e-06,3.559111556398277e-06,0.6024224404427048,2.60053574566615e-06,0.07862766352488242
1-11B-rep1,2.9608747498278973e-06,8.865518008341731e-07,0.3017944881464174,3.3794099512611076e-06,7.148905056951134e-06,0.29840458364560896,5.223489864922496e-06,0.3997813289765499
1-11B-rep2,1.391520095660745e-06,0.7582535512103801,0.10276474444761573,1.5882187718102792e-06,3.359765572419587e-06,0.03902056514634935,2.4548796320892584e-06,0.09995234481158285
1-11C-rep1,2.5923521490040165e-06,7.762079318719703e-07,0.39224648776689813,2.958794744703912e-06,6.259123047501475e-06,0.24400464233577862,4.5733529178901e-06,0.3637317100665323
1-11C-rep2,1.9606262483357108e-06,5.870551367719308e-07,0.5016362600964742,2.237771069078339e-06,4.733847962441843e-06,0.2152749946090115,3.4588802980193216e-06,0.28307576711379967
1-12A-rep1,1.8998326036298175e-06,5.688521664516175e-07,0.026610702318519593,2.1683839233017505e-06,4.587064315449104e-06,0.9733733364066303,3.3516299028476276e-06,3.3855119384883796e-06
1-12A-rep2,1.3092479464266712e-06,3.9201797533329486e-07,0.021924749450981783,1.494317022048852e-06,3.1611229977075376e-06,0.9780642510187016,2.3097374785028715e-06,2.333086896498255e-06
1-12B-rep1,3.1443472763309164e-06,9.41487558851057e-07,0.16366725931914544,3.588817283294778e-06,7.591891600912602e-06,0.8363063237265366,5.547166806250713e-06,5.603243792338854e-06
1-12B-rep2,1.3054764848443594e-06,3.9088871579343426e-07,0.21118864981722693,1.490012444557756e-06,3.152016965519093e-06,0.7860190824377122,2.303083974719135e-06,0.0027836262664754385
1-12C-rep1,3.480328508968666e-06,1.0420878178990953e-06,0.20551839799424035,3.972291228310177e-06,8.403103872956293e-06,0.7944523623349622,6.1398952097704715e-06,6.201964159612212e-06
